,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TELB3,2022-06-06,34.66,34.66,34.66,34.66,100,0,0,1,1,0,0
1,TELB3,2022-06-07,36.49,37.0,35.89,35.89,1000,7,0,0,7,0,0
2,TELB3,2022-06-08,35.9,36.9,33.5,33.95,5100,22,0,11,33,0,0
3,TELB3,2022-06-09,33.95,33.95,32.65,32.65,600,1,0,4,5,0,0
4,TELB3,2022-06-10,32.65,32.66,29.5,31.5,2900,8,0,16,24,0,0
5,TELB3,2022-06-13,30.0,30.02,29.0,30.0,1400,3,0,7,10,0,0
6,TELB3,2022-06-14,29.5,29.5,29.45,29.45,300,3,0,0,3,0,0
7,TELB3,2022-06-17,29.0,29.45,29.0,29.45,800,6,1,1,8,0,0
8,TELB3,2022-06-20,28.0,28.55,27.0,28.55,800,4,0,4,8,0,0
9,TELB3,2022-06-21,28.0,28.0,27.22,27.5,2000,6,0,4,10,0,0
10,TELB3,2022-06-22,27.0,27.5,27.0,27.0,500,2,0,2,4,0,0
11,TELB3,2022-06-23,26.48,26.5,26.16,26.5,1200,6,1,2,9,0,0
12,TELB3,2022-06-24,26.5,26.5,24.99,25.0,4100,23,0,5,28,0,0
13,TELB3,2022-06-27,26.0,26.0,22.5,22.98,9800,33,0,33,66,0,0
14,TELB3,2022-06-28,22.99,22.99,22.0,22.0,2500,14,0,7,21,0,0
15,TELB3,2022-06-29,20.3,21.59,19.5,20.24,6000,14,0,29,43,0,0
16,TELB3,2022-06-30,20.1,20.6,20.04,20.04,1000,7,0,2,9,0,0
17,TELB3,2022-07-01,20.47,20.47,20.2,20.28,800,6,0,0,6,0,0
18,TELB3,2022-07-04,20.28,20.28,20.01,20.28,1400,6,0,1,7,0,0
19,TELB3,2022-07-05,19.8,20.0,19.8,20.0,1600,1,0,3,4,0,0
20,TELB3,2022-07-06,19.99,20.0,19.5,19.8,5000,20,0,7,27,0,0
21,TELB3,2022-07-07,19.8,19.8,19.56,19.8,3200,16,0,0,16,0,0
22,TELB3,2022-07-08,19.8,19.8,19.78,19.8,1700,7,1,1,9,0,0
23,TELB3,2022-07-11,19.15,19.43,18.7,18.7,2200,6,0,8,14,0,0
24,TELB3,2022-07-12,18.7,19.29,18.68,19.22,2200,12,0,5,17,0,0
25,TELB3,2022-07-13,19.0,19.0,18.8,18.8,1000,4,0,3,7,0,0
26,TELB3,2022-07-14,20.0,20.0,18.55,18.55,3300,12,0,11,23,0,0
27,TELB3,2022-07-15,19.26,19.26,18.4,18.85,1500,7,1,2,9,1,0
28,TELB3,2022-07-18,18.87,18.87,17.35,17.58,1100,3,0,6,9,0,0
29,TELB3,2022-07-19,18.0,18.0,17.6,17.8,800,5,0,3,8,0,0
30,TELB3,2022-07-20,17.6,18.5,17.6,18.5,2200,9,0,8,17,0,0
31,TELB3,2022-07-21,19.0,19.79,18.9,19.0,9800,11,0,14,25,0,0
32,TELB3,2022-07-22,19.15,19.22,19.0,19.0,1800,6,0,6,12,0,0
33,TELB3,2022-07-25,18.88,18.98,18.88,18.89,1000,2,0,4,6,0,0
34,TELB3,2022-07-26,18.46,18.46,18.2,18.2,400,0,0,4,4,0,0
35,TELB3,2022-07-27,18.58,18.58,18.0,18.29,600,3,0,2,5,0,0
36,TELB3,2022-07-28,18.62,18.62,17.86,18.14,3200,11,0,5,16,0,0
37,TELB3,2022-07-29,18.8,18.88,18.28,18.28,1000,6,0,1,7,0,0
38,TELB3,2022-08-01,18.53,18.56,18.19,18.19,300,0,1,2,3,0,0
39,TELB3,2022-08-02,18.19,18.98,18.0,18.98,600,3,0,3,6,0,0
40,TELB3,2022-08-03,17.81,20.5,17.76,20.5,5800,33,0,21,54,0,0
41,TELB3,2022-08-08,22.5,22.95,21.78,21.78,2200,6,0,6,12,0,0
42,TELB3,2022-08-09,21.5,21.55,20.0,20.78,2400,5,0,14,19,0,0
43,TELB3,2022-08-10,20.82,21.03,20.78,21.03,600,2,0,4,6,0,0
44,TELB3,2022-08-12,20.5,20.5,20.5,20.5,200,2,0,0,2,0,0
45,TELB3,2022-08-15,20.52,20.53,20.06,20.06,1600,4,0,6,10,0,0
46,TELB3,2022-08-16,19.98,20.06,18.65,20.05,2200,5,0,15,20,0,0
47,TELB3,2022-08-17,20.1,20.26,20.1,20.26,700,0,0,3,3,0,0
48,TELB3,2022-08-18,21.4,21.5,20.99,21.1,4200,28,2,7,37,0,0
49,TELB3,2022-08-19,21.1,21.34,20.7,21.34,1400,6,0,4,10,0,0
50,TELB3,2022-08-22,20.81,20.81,20.3,20.3,1000,1,0,6,7,0,0
51,TELB3,2022-08-23,20.3,20.37,20.3,20.37,200,1,0,1,2,0,0
52,TELB3,2022-08-24,20.98,21.03,20.25,20.25,1000,5,0,4,9,0,0
53,TELB3,2022-08-25,20.49,20.49,20.49,20.49,100,0,0,1,1,0,0
54,TELB3,2022-08-29,19.01,19.97,18.78,19.97,1600,5,0,9,14,0,0
55,TELB3,2022-08-30,19.97,19.97,19.0,19.6,3600,12,0,15,27,0,0
56,TELB3,2022-08-31,19.39,19.39,19.39,19.39,100,0,0,1,1,0,0
