,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TEND3,2023-05-17,7.35,7.49,7.3,7.35,2063300,2703,60,1971,4734,0,0
1,TEND3,2022-10-18,6.52,6.61,6.38,6.53,1285500,1171,46,1305,2522,0,0
2,TEND3,2023-02-22,4.54,4.69,4.45,4.61,1606700,1252,67,1478,2797,0,0
3,TEND3,2023-02-06,4.71,4.71,4.3,4.33,3993400,3040,54,3046,6140,0,0
4,TEND3,2022-10-25,5.15,5.96,5.12,5.7,7009400,6035,72,6359,12466,0,0
5,TEND3,2023-04-28,5.5,5.94,5.5,5.82,6494200,3581,77,5216,8874,0,0
6,TEND3,2023-02-08,4.11,4.29,4.01,4.12,3905400,4089,35,2301,6425,0,0
7,TEND3,2022-11-17,4.65,4.65,4.2,4.39,5901600,4310,64,2836,7210,0,0
8,TEND3,2022-12-08,4.46,4.53,4.34,4.38,2845100,1230,44,1978,3252,0,0
9,TEND3,2022-08-30,6.2,6.39,5.83,6.04,2970500,2007,38,1750,3794,1,0
10,TEND3,2022-07-07,4.52,4.97,4.47,4.91,2461900,2647,48,1468,4163,0,0
11,TEND3,2023-07-27,12.25,12.25,11.16,11.2,4620900,5728,138,4678,10543,1,0
12,TEND3,2023-03-08,4.67,5.03,4.67,4.95,7197200,4368,38,4095,8501,0,0
13,TEND3,2022-07-20,4.6,4.68,4.41,4.6,4236700,3742,43,2610,6395,0,0
14,TEND3,2022-06-10,4.24,4.31,4.11,4.22,2215000,2525,22,2766,5313,0,0
15,TEND3,2023-05-09,6.93,7.47,6.9,7.31,6605300,3244,51,3925,7219,1,0
16,TEND3,2022-07-05,4.02,4.23,3.97,4.21,1730300,3100,25,1888,5013,0,0
17,TEND3,2023-01-26,4.77,4.83,4.68,4.81,2373300,1573,52,2100,3725,0,0
18,TEND3,2023-04-13,5.11,5.71,5.08,5.67,6302400,4611,89,4151,8851,0,0
19,TEND3,2022-11-09,5.45,5.57,5.3,5.38,2182800,1535,51,1789,3375,0,0
20,TEND3,2023-02-27,4.52,4.97,4.45,4.79,6837700,2614,59,2133,4806,0,0
21,TEND3,2022-12-02,4.38,4.8,4.32,4.8,6102700,2064,39,1831,3934,0,0
