,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TFCO4,2022-06-06,10.01,10.01,9.65,9.7,439300,353,20,1176,1549,0,0
1,TFCO4,2022-06-07,9.71,9.71,9.28,9.51,201000,236,29,542,807,0,0
2,TFCO4,2022-06-08,9.48,9.66,9.29,9.59,194000,352,33,744,1129,0,0
3,TFCO4,2022-06-09,9.51,9.75,9.4,9.75,247700,477,23,503,1002,1,0
4,TFCO4,2022-06-10,9.6,9.66,9.26,9.41,151000,173,25,612,810,0,0
5,TFCO4,2022-06-13,9.23,9.41,9.05,9.38,205400,316,14,519,849,0,0
6,TFCO4,2022-06-14,9.32,9.35,8.81,8.81,254600,451,18,910,1379,0,0
7,TFCO4,2022-06-15,8.91,9.11,8.75,8.98,236800,157,20,185,361,1,0
8,TFCO4,2022-06-17,8.88,8.93,8.51,8.74,223500,371,34,681,1086,0,0
9,TFCO4,2022-06-20,8.68,8.8,8.5,8.66,192000,125,15,280,419,1,0
10,TFCO4,2022-06-21,8.73,8.81,8.57,8.81,111700,66,12,98,176,0,0
11,TFCO4,2022-06-22,8.72,8.94,8.4,8.71,330400,581,23,1005,1609,0,0
12,TFCO4,2022-06-23,8.76,8.94,8.56,8.75,192600,576,13,849,1438,0,0
13,TFCO4,2022-06-24,8.77,8.77,8.37,8.46,111900,191,32,218,441,0,0
14,TFCO4,2022-06-27,8.5,8.56,8.18,8.56,222600,401,13,378,792,0,0
15,TFCO4,2022-06-28,8.56,8.7,8.26,8.33,136800,325,18,491,834,0,0
16,TFCO4,2022-06-29,8.55,8.86,7.95,8.81,553000,1059,53,1632,2707,37,0
17,TFCO4,2022-06-30,8.76,8.92,8.44,8.9,177900,420,38,319,777,0,0
18,TFCO4,2022-07-01,8.81,8.97,8.44,8.76,121800,388,17,334,739,0,0
19,TFCO4,2022-07-04,8.8,8.87,8.41,8.46,367400,465,39,617,1110,11,0
20,TFCO4,2022-07-05,8.44,8.44,8.06,8.4,267300,656,27,775,1458,0,0
21,TFCO4,2022-07-06,8.32,8.64,8.23,8.42,283500,883,23,1028,1934,0,0
22,TFCO4,2022-07-07,8.46,8.94,8.46,8.82,217500,525,26,459,1010,0,0
