,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TIMS3,2022-06-06,13.83,13.83,13.35,13.43,4581100,6059,126,6404,12588,1,0
1,TIMS3,2022-06-07,13.33,13.38,13.06,13.21,6062400,5897,180,6576,12647,6,0
2,TIMS3,2022-06-08,13.1,13.31,12.97,13.31,6708500,4497,149,8271,12916,1,0
3,TIMS3,2022-06-09,13.12,13.13,12.93,13.04,6296700,11408,159,6055,17620,2,0
4,TIMS3,2022-06-10,12.92,12.97,12.73,12.74,5404200,9438,132,5445,15011,4,0
5,TIMS3,2022-06-13,12.71,12.77,12.36,12.47,7496500,8383,158,8821,17362,0,0
6,TIMS3,2022-06-14,12.47,12.57,12.35,12.53,5033100,4274,120,4987,9379,2,0
7,TIMS3,2022-06-15,12.58,12.64,12.41,12.5,7314500,9400,181,6159,15734,6,0
8,TIMS3,2022-06-17,12.25,12.51,12.24,12.45,6627400,6521,260,4259,11040,0,0
9,TIMS3,2022-06-20,12.55,12.61,12.28,12.45,5206600,4174,192,5092,9457,1,0
10,TIMS3,2022-06-21,12.44,12.8,12.4,12.79,5536200,5127,140,6059,11325,1,0
11,TIMS3,2022-06-22,12.57,12.73,12.47,12.56,18097500,4311,209,5247,9761,6,0
12,TIMS3,2022-06-23,12.59,12.66,12.51,12.51,12742100,4181,176,5190,9545,2,0
13,TIMS3,2022-06-24,12.52,12.68,12.46,12.61,6675000,3513,152,2262,5925,2,0
14,TIMS3,2022-06-27,12.58,12.72,12.57,12.66,3667000,5534,124,4447,10103,2,0
15,TIMS3,2022-06-28,12.63,12.75,12.51,12.59,7509100,4674,132,8468,13267,7,0
16,TIMS3,2022-06-29,12.57,12.63,12.43,12.44,7380600,4629,119,5910,10655,3,0
17,TIMS3,2022-06-30,12.38,12.88,12.25,12.63,10799000,9911,298,10044,20252,1,0
18,TIMS3,2022-07-01,12.77,13.35,12.66,13.24,8820200,6758,174,7713,14644,1,0
19,TIMS3,2022-07-04,13.14,13.17,12.99,12.99,3074700,2952,135,3192,6277,2,0
20,TIMS3,2022-07-05,12.96,13.13,12.85,13.08,6949200,4511,160,8546,13213,4,0
