,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TOTS3,2022-06-06,29.25,29.69,28.58,28.88,4206200,7674,94,9085,16851,2,0
1,TOTS3,2022-06-07,28.69,28.79,27.61,28.1,6014100,11349,145,9780,21266,8,0
2,TOTS3,2022-06-08,27.56,28.48,27.12,28.25,3912600,7919,133,6271,14322,1,0
3,TOTS3,2022-06-09,28.0,28.44,27.44,27.49,4306000,9492,186,8136,17814,0,0
4,TOTS3,2022-06-10,27.0,27.08,26.11,26.28,4675500,11790,138,9176,21103,1,0
5,TOTS3,2022-06-13,25.78,25.81,24.57,24.8,6041400,16138,195,14219,30552,0,0
6,TOTS3,2022-06-14,24.59,25.18,24.56,25.0,4038700,8420,111,8512,17042,1,0
7,TOTS3,2022-06-15,25.23,25.81,24.82,25.36,5068300,13243,163,11808,25210,4,0
8,TOTS3,2022-06-17,24.95,25.01,23.85,24.16,12163000,14442,1889,13247,27940,1638,0
9,TOTS3,2022-06-20,24.41,24.64,22.98,23.24,2923500,5247,113,6273,11632,1,0
10,TOTS3,2022-06-21,23.4,24.49,23.26,24.24,5203000,9753,212,10616,20580,1,0
11,TOTS3,2022-06-22,23.79,24.4,23.27,23.76,3397000,7206,156,8386,15746,2,0
12,TOTS3,2022-06-23,23.84,24.44,23.48,24.01,3635300,9039,143,7879,17059,2,0
13,TOTS3,2022-06-24,24.28,24.87,23.74,23.91,2886900,6985,124,6186,13295,0,0
14,TOTS3,2022-06-27,24.22,24.66,24.03,24.35,2613100,6464,165,5476,12105,0,0
15,TOTS3,2022-06-28,24.27,24.51,23.42,23.78,2944500,5772,192,8224,14187,1,0
16,TOTS3,2022-06-29,24.0,24.13,23.02,23.17,2944000,7890,132,8675,16697,0,0
17,TOTS3,2022-06-30,22.55,23.57,22.52,23.19,4718900,11283,236,13895,25413,1,0
18,TOTS3,2022-07-01,23.06,23.76,22.61,23.6,4310800,10890,2224,10499,21557,2056,0
19,TOTS3,2022-07-04,23.34,24.09,23.27,23.28,1457100,2925,115,4241,7281,0,0
20,TOTS3,2022-07-05,23.1,24.33,22.66,24.31,4589300,9967,182,11323,21471,1,0
21,TOTS3,2022-07-06,24.3,25.72,24.19,25.27,5103800,14022,198,11084,25304,0,0
22,TOTS3,2022-07-07,25.67,26.23,25.56,25.79,4850800,10648,182,10252,21082,0,0
23,TOTS3,2022-07-08,25.76,26.02,24.79,24.81,3274000,6672,125,6548,13343,2,0
24,TOTS3,2022-07-11,24.64,24.8,23.66,23.96,2902000,6548,151,7736,14435,0,0
25,TOTS3,2022-07-12,23.95,24.31,23.54,23.79,2681700,5745,184,7418,13347,0,0
26,TOTS3,2022-07-13,23.48,24.35,23.13,23.5,3977000,9522,118,8477,18117,0,0
27,TOTS3,2022-07-14,23.35,23.57,23.03,23.25,2654600,6683,161,5780,12623,1,0
28,TOTS3,2022-07-15,23.33,24.21,23.18,23.26,5112700,10335,119,11888,22342,0,0
29,TOTS3,2022-07-18,23.49,24.25,23.18,23.34,3377800,8501,150,7572,16223,0,0
30,TOTS3,2022-07-19,23.69,24.8,23.65,24.8,4403400,11383,130,8673,20183,3,0
31,TOTS3,2022-07-20,24.61,26.1,24.55,25.99,5499700,9266,3282,9786,19243,3091,0
32,TOTS3,2022-07-21,25.75,26.57,25.47,26.37,4900200,10864,176,10997,22035,2,0
33,TOTS3,2022-07-22,26.37,26.37,25.63,25.95,2945500,7475,130,9719,17324,0,0
34,TOTS3,2022-07-25,25.88,26.24,25.63,25.98,2786000,5803,139,7045,12984,3,0
35,TOTS3,2022-07-26,25.87,25.93,24.9,25.2,3997600,7675,119,7675,15466,3,0
36,TOTS3,2022-07-27,25.26,26.29,25.26,26.22,3559200,8093,143,8847,17083,0,0
37,TOTS3,2022-07-28,26.13,26.5,25.77,26.4,2579000,8305,190,7575,15972,98,0
38,TOTS3,2022-07-29,26.5,26.9,25.72,26.43,3946500,10312,152,7334,17797,1,0
39,TOTS3,2022-08-01,26.31,26.75,25.89,26.2,3507100,10688,167,9218,20073,0,0
40,TOTS3,2022-08-02,26.08,26.62,25.92,26.52,4139500,7238,141,7885,15260,4,0
41,TOTS3,2022-08-03,26.4,27.46,26.37,27.29,4684100,13099,180,9511,22790,0,0
42,TOTS3,2022-08-08,27.29,28.5,26.99,28.43,6104400,17437,164,13778,31376,3,0
43,TOTS3,2022-08-09,28.3,28.75,27.13,28.11,3126900,8709,1420,8000,16846,1283,0
44,TOTS3,2022-08-10,29.49,31.06,29.41,30.06,9968900,20153,1107,16396,36865,791,0
45,TOTS3,2022-08-12,30.15,30.75,30.12,30.54,5041700,9377,196,10324,19897,0,0
46,TOTS3,2022-08-15,30.3,30.54,29.59,30.16,3953800,7133,165,10967,18263,2,0
47,TOTS3,2022-08-16,30.01,30.46,29.31,29.62,3800800,7231,133,8138,15498,4,0
48,TOTS3,2022-08-17,29.32,30.34,29.15,30.04,5452300,10952,151,11053,22153,3,0
49,TOTS3,2022-08-18,30.3,31.48,30.13,31.21,4610800,9824,176,10626,20625,1,0
50,TOTS3,2022-08-19,31.0,31.17,30.24,30.61,3675400,8362,108,7932,16398,4,0
51,TOTS3,2022-08-22,30.53,30.53,29.76,30.45,3983500,8017,149,8793,16956,3,0
52,TOTS3,2022-08-23,30.09,30.94,30.09,30.51,2367900,6885,97,6129,13111,0,0
53,TOTS3,2022-08-24,30.55,31.4,30.46,30.85,2308800,5712,125,6865,12702,0,0
54,TOTS3,2022-08-25,31.07,31.29,30.54,30.92,3032900,9725,96,7393,17212,2,0
55,TOTS3,2022-08-26,31.0,31.0,29.45,29.57,3177700,7098,123,8517,15737,1,0
56,TOTS3,2022-08-29,28.98,29.97,28.98,29.6,3511000,8294,161,8129,16583,1,0
