,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TPIS3,2022-06-06,1.42,1.44,1.34,1.38,1042200,194,0,426,620,0,0
1,TPIS3,2022-06-07,1.37,1.4,1.32,1.38,969600,187,0,471,658,0,0
2,TPIS3,2022-06-08,1.36,1.42,1.33,1.35,784900,133,0,304,437,0,0
3,TPIS3,2022-06-09,1.36,1.41,1.33,1.35,560800,199,24,280,503,0,0
4,TPIS3,2022-06-10,1.35,1.38,1.33,1.34,564800,219,13,316,548,0,0
5,TPIS3,2022-06-13,1.34,1.36,1.28,1.31,439500,407,10,210,627,0,0
6,TPIS3,2022-06-14,1.32,1.34,1.27,1.28,145900,117,9,232,358,0,0
7,TPIS3,2022-06-15,1.3,1.31,1.23,1.27,758400,331,21,667,1019,0,0
8,TPIS3,2022-06-17,1.28,1.28,1.24,1.26,650500,406,18,480,904,0,0
9,TPIS3,2022-06-20,1.25,1.31,1.25,1.26,503800,177,17,229,423,0,0
10,TPIS3,2022-06-21,1.27,1.29,1.25,1.26,220600,110,29,285,424,0,0
11,TPIS3,2022-06-22,1.25,1.26,1.22,1.23,437200,189,17,495,701,0,0
12,TPIS3,2022-06-23,1.23,1.26,1.21,1.23,350400,355,12,503,870,0,0
13,TPIS3,2022-06-24,1.24,1.26,1.22,1.22,237200,136,12,233,381,0,0
14,TPIS3,2022-06-27,1.24,1.26,1.23,1.24,297100,90,0,248,338,0,0
15,TPIS3,2022-06-28,1.23,1.25,1.17,1.17,497400,138,21,461,620,0,0
16,TPIS3,2022-06-29,1.2,1.2,1.15,1.17,152600,85,9,261,355,0,0
17,TPIS3,2022-06-30,1.16,1.17,1.12,1.14,302700,123,0,301,424,0,0
18,TPIS3,2022-07-01,1.13,1.16,1.1,1.12,286000,194,12,478,684,0,0
19,TPIS3,2022-07-04,1.11,1.14,1.05,1.08,377600,217,0,447,664,0,0
20,TPIS3,2022-07-05,1.08,1.1,1.02,1.09,320500,205,2,354,561,0,0
21,TPIS3,2022-07-06,1.1,1.15,1.09,1.12,286000,361,15,249,625,0,0
22,TPIS3,2022-07-07,1.16,1.21,1.14,1.16,795900,494,20,360,874,0,0
23,TPIS3,2022-07-08,1.16,1.22,1.14,1.16,500900,257,15,308,580,0,0
24,TPIS3,2022-07-11,1.16,1.19,1.1,1.1,515300,259,13,338,610,0,0
25,TPIS3,2022-07-12,1.11,1.15,1.09,1.13,315200,217,19,161,397,0,0
26,TPIS3,2022-07-13,1.15,1.19,1.12,1.13,663700,340,21,411,772,0,0
27,TPIS3,2022-07-14,1.14,1.16,1.11,1.11,312900,227,12,252,490,1,0
28,TPIS3,2022-07-15,1.13,1.13,1.1,1.11,201000,139,16,135,290,0,0
29,TPIS3,2022-07-18,1.12,1.13,1.09,1.11,366300,445,2,254,701,0,0
30,TPIS3,2022-07-19,1.12,1.29,1.08,1.25,1683700,786,33,473,1292,0,0
31,TPIS3,2022-07-20,1.24,1.33,1.19,1.25,1141500,505,35,722,1262,0,0
