,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TRAD3,2022-06-06,6.94,7.1,6.78,6.83,1582000,1280,30,1448,2758,0,0
1,TRAD3,2022-06-07,6.83,7.08,6.57,6.82,2652400,1580,40,1841,3461,0,0
2,TRAD3,2022-06-08,6.74,7.18,6.7,6.81,2995600,1654,102,1550,3306,0,0
3,TRAD3,2022-06-09,6.89,7.08,6.71,6.95,3114000,2081,38,2075,4194,0,0
4,TRAD3,2022-06-10,6.92,7.01,6.67,6.92,4883000,2603,78,1992,4673,0,0
5,TRAD3,2022-06-13,6.8,6.83,6.15,6.27,4229400,1750,39,2667,4456,0,0
6,TRAD3,2022-06-14,6.26,6.26,5.77,5.77,2323700,1192,46,1750,2988,0,0
7,TRAD3,2022-06-15,5.92,6.28,5.83,6.26,4456600,3231,59,1766,5056,0,0
8,TRAD3,2022-06-17,6.02,6.19,5.8,5.84,2300100,1373,40,1278,2691,0,0
9,TRAD3,2022-06-20,5.87,6.03,5.52,5.87,2782100,1336,81,1167,2584,0,0
10,TRAD3,2022-06-21,5.89,6.23,5.86,6.16,3614000,2106,62,1448,3616,0,0
11,TRAD3,2022-06-22,6.07,6.8,6.05,6.54,5604900,4357,69,2306,6732,0,0
12,TRAD3,2022-06-23,6.61,7.2,6.55,6.98,5768100,4262,86,2555,6902,1,0
13,TRAD3,2022-06-24,7.1,7.3,6.87,7.0,3171700,1915,64,1888,3867,0,0
14,TRAD3,2022-06-27,7.01,7.3,7.01,7.19,2434600,3376,52,1048,4476,0,0
15,TRAD3,2022-06-28,7.29,7.38,7.01,7.12,2108300,1522,31,1999,3552,0,0
16,TRAD3,2022-06-29,7.04,7.04,6.55,6.57,2626000,1738,47,3468,5253,0,0
17,TRAD3,2022-06-30,6.28,6.29,4.76,4.78,10026900,4993,205,5468,10666,0,0
18,TRAD3,2022-07-01,4.27,4.89,4.14,4.72,6844000,3817,165,3371,7353,0,0
19,TRAD3,2022-07-04,4.69,4.92,4.42,4.52,1982700,1084,45,1830,2959,0,0
