,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TRIS3,2022-06-06,3.75,3.78,3.61,3.64,1037600,740,57,1483,2279,1,0
1,TRIS3,2022-06-07,3.6,3.63,3.55,3.55,966800,1405,63,1753,3220,1,0
2,TRIS3,2022-06-08,3.55,3.62,3.47,3.51,1505500,2176,58,1761,3994,1,0
3,TRIS3,2022-06-09,3.48,3.61,3.44,3.53,1381300,1576,34,1330,2939,1,0
4,TRIS3,2022-06-10,3.48,3.51,3.39,3.43,1248900,1354,32,1479,2864,1,0
5,TRIS3,2022-06-13,3.36,3.44,3.23,3.44,2119600,3144,47,1613,4803,1,0
6,TRIS3,2022-06-14,3.47,3.48,3.27,3.3,1550900,2941,44,2052,5036,1,0
7,TRIS3,2022-06-15,3.35,3.58,3.3,3.52,2124800,3672,50,1886,5606,2,0
8,TRIS3,2022-06-17,3.46,3.59,3.4,3.54,1563800,2381,231,1597,4027,182,0
9,TRIS3,2022-06-20,3.54,3.59,3.45,3.55,914600,1501,30,1178,2708,1,0
10,TRIS3,2022-06-21,3.58,3.64,3.42,3.43,1136500,2170,38,1283,3490,1,0
11,TRIS3,2022-06-22,3.4,3.49,3.27,3.4,2735600,3949,44,2469,6461,1,0
12,TRIS3,2022-06-23,3.43,3.5,3.39,3.43,1099100,2340,41,1620,3999,2,0
13,TRIS3,2022-06-24,3.5,3.57,3.41,3.5,1110800,2401,46,1383,3829,1,0
14,TRIS3,2022-06-27,3.53,3.53,3.39,3.43,1010000,1503,42,1206,2750,1,0
15,TRIS3,2022-06-28,3.45,3.48,3.36,3.39,869700,1778,29,1533,3339,1,0
16,TRIS3,2022-06-29,3.4,3.44,3.33,3.34,761400,1695,28,1083,2805,1,0
17,TRIS3,2022-06-30,3.35,3.41,3.29,3.36,1170900,1701,39,1414,3153,1,0
18,TRIS3,2022-07-01,3.37,3.53,3.37,3.49,782100,1278,49,1274,2600,1,0
19,TRIS3,2022-07-04,3.48,3.56,3.48,3.51,547400,764,41,898,1702,1,0
20,TRIS3,2022-07-05,3.48,3.54,3.38,3.54,781700,962,53,1309,2323,1,0
21,TRIS3,2022-07-06,3.54,3.85,3.51,3.61,1959500,2289,33,2165,4486,1,0
