,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TRPL3,2022-06-06,31.2,31.21,30.5,30.5,2300,1,1,16,18,0,0
1,TRPL3,2022-06-07,30.25,30.5,30.22,30.27,1400,10,0,4,14,0,0
2,TRPL3,2022-06-08,30.28,30.81,30.25,30.3,700,3,0,4,7,0,0
3,TRPL3,2022-06-09,30.21,30.21,30.0,30.14,1400,3,0,6,9,0,0
4,TRPL3,2022-06-10,30.14,30.14,29.73,30.0,1500,7,0,4,11,0,0
5,TRPL3,2022-06-13,30.0,30.15,29.4,29.4,2600,10,1,3,14,0,0
6,TRPL3,2022-06-14,30.14,30.14,29.5,29.53,1700,10,0,5,15,0,0
7,TRPL3,2022-06-15,30.14,30.15,30.14,30.15,800,7,0,1,8,0,0
8,TRPL3,2022-06-17,30.13,30.15,30.09,30.13,2600,13,0,4,17,0,0
9,TRPL3,2022-06-20,30.1,30.15,29.66,29.82,6000,16,0,3,19,0,0
10,TRPL3,2022-06-21,29.83,29.94,29.83,29.94,200,0,0,2,2,0,0
11,TRPL3,2022-06-22,30.03,30.53,29.94,30.53,900,1,0,6,7,0,0
12,TRPL3,2022-06-23,30.5,30.9,30.5,30.9,300,1,1,1,3,0,0
13,TRPL3,2022-06-24,30.89,30.89,30.25,30.25,1000,1,0,5,6,0,0
14,TRPL3,2022-06-27,30.24,30.64,30.15,30.15,1500,1,0,11,12,0,0
15,TRPL3,2022-06-28,30.2,30.2,30.0,30.0,200,0,0,2,2,0,0
16,TRPL3,2022-06-29,30.04,30.04,29.7,29.89,600,2,0,4,6,0,0
17,TRPL3,2022-06-30,30.2,30.88,29.8,30.88,1300,11,0,1,12,0,0
18,TRPL3,2022-07-01,30.88,30.92,29.81,30.0,1800,8,0,4,12,0,0
19,TRPL3,2022-07-04,30.0,30.25,30.0,30.17,800,3,0,1,4,0,0
20,TRPL3,2022-07-05,30.16,30.17,29.72,29.75,800,6,0,2,8,0,0
21,TRPL3,2022-07-06,29.8,30.15,29.62,30.15,1400,4,0,6,10,0,0
22,TRPL3,2022-07-07,30.1,30.1,28.82,28.85,6900,25,0,19,44,0,0
23,TRPL3,2022-07-08,29.02,29.72,29.02,29.36,2000,9,0,7,16,0,0
24,TRPL3,2022-07-11,29.4,29.4,28.71,29.09,2100,7,0,11,18,0,0
25,TRPL3,2022-07-12,29.5,30.1,29.5,30.09,1900,11,1,4,16,0,0
26,TRPL3,2022-07-13,30.29,30.5,29.69,30.05,1000,6,0,3,9,0,0
