,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TUPY3,2022-06-06,24.43,24.47,23.51,23.72,758200,1439,86,2685,4210,0,0
1,TUPY3,2022-06-07,23.75,23.75,23.1,23.22,589200,1401,96,1913,3410,0,0
2,TUPY3,2022-06-08,23.08,23.52,22.78,23.42,974400,2989,99,2445,5532,1,0
3,TUPY3,2022-06-09,23.47,23.85,23.26,23.59,652000,2094,84,1643,3821,0,0
4,TUPY3,2022-06-10,23.3,23.5,23.01,23.02,625300,1311,83,1877,3271,0,0
5,TUPY3,2022-06-13,22.88,22.88,22.17,22.3,867300,2942,63,2775,5780,0,0
6,TUPY3,2022-06-14,22.32,22.34,20.94,21.05,1004700,2089,92,3048,5229,0,0
7,TUPY3,2022-06-15,21.29,21.91,21.28,21.68,781700,1676,66,2049,3791,0,0
8,TUPY3,2022-06-17,21.31,21.65,20.91,21.45,736300,1862,85,1457,3404,0,0
9,TUPY3,2022-06-20,21.35,21.38,20.71,20.99,485400,1344,71,1311,2726,0,0
10,TUPY3,2022-06-21,21.1,21.32,20.9,21.14,538600,1098,65,1311,2474,0,0
11,TUPY3,2022-06-22,21.08,21.63,20.83,21.27,590500,1684,86,1618,3388,0,0
12,TUPY3,2022-06-23,21.35,21.66,21.12,21.5,480500,1494,75,1642,3210,1,0
13,TUPY3,2022-06-24,21.56,21.7,21.16,21.32,418800,892,79,1184,2155,0,0
14,TUPY3,2022-06-27,21.54,22.26,21.38,22.2,620300,1795,68,1385,3248,0,0
15,TUPY3,2022-06-28,22.23,23.66,22.2,22.8,1282200,2735,106,3073,5914,0,0
16,TUPY3,2022-06-29,22.86,23.05,22.13,22.32,532400,989,63,1312,2364,0,0
17,TUPY3,2022-06-30,22.15,22.5,21.69,22.04,578900,1295,71,1324,2689,1,0
18,TUPY3,2022-07-01,22.4,22.45,21.73,21.73,504700,1467,64,1376,2907,0,0
19,TUPY3,2022-07-04,21.81,22.07,21.2,21.33,656900,1198,71,1513,2781,1,0
20,TUPY3,2022-07-05,21.35,21.41,20.38,20.92,933300,1881,77,2849,4807,0,0
21,TUPY3,2022-07-06,20.84,21.21,20.43,20.77,763900,2093,66,2230,4389,0,0
22,TUPY3,2022-07-07,21.03,21.53,20.76,20.88,805400,1674,108,1446,3228,0,0
23,TUPY3,2022-07-08,21.07,21.59,20.73,20.73,747300,1206,66,1470,2742,0,0
24,TUPY3,2022-07-11,20.72,21.66,20.66,20.78,1201600,2561,99,3176,5836,0,0
25,TUPY3,2022-07-12,20.68,21.22,20.52,20.78,667600,1376,72,1859,3307,0,0
26,TUPY3,2022-07-13,20.73,21.26,20.73,20.83,486900,950,60,1779,2789,0,0
