,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,TXRX4,2022-06-07,5.5,5.5,5.5,5.5,200,2,0,0,2,0,0
1,TXRX4,2022-06-09,5.43,5.43,5.05,5.05,600,3,0,2,5,0,0
2,TXRX4,2022-06-13,4.99,4.99,4.99,4.99,100,1,0,0,1,0,0
3,TXRX4,2022-06-17,4.89,5.3,4.6,5.3,1000,4,1,5,10,0,0
4,TXRX4,2022-06-20,4.91,4.92,4.91,4.92,200,1,0,1,2,0,0
5,TXRX4,2022-06-21,4.65,4.65,4.65,4.65,400,0,0,3,3,0,0
6,TXRX4,2022-06-23,4.05,4.4,4.05,4.24,1800,3,0,7,10,0,0
7,TXRX4,2022-06-28,4.01,4.06,4.01,4.06,200,0,0,2,2,0,0
8,TXRX4,2022-07-01,4.01,4.01,4.01,4.01,100,1,0,0,1,0,0
9,TXRX4,2022-07-06,4.0,4.0,4.0,4.0,100,0,0,1,1,0,0
10,TXRX4,2022-07-07,3.8,3.85,3.65,3.65,300,0,0,3,3,0,0
11,TXRX4,2022-07-08,4.24,4.24,4.24,4.24,100,0,0,1,1,0,0
12,TXRX4,2022-07-12,3.98,4.2,3.93,4.2,300,2,0,1,3,0,0
13,TXRX4,2022-07-13,4.0,4.0,4.0,4.0,300,2,0,1,3,0,0
14,TXRX4,2022-07-14,4.0,4.0,4.0,4.0,100,1,0,0,1,0,0
15,TXRX4,2022-07-15,4.15,4.15,4.15,4.15,100,1,0,0,1,0,0
16,TXRX4,2022-07-20,3.77,4.11,3.77,4.0,500,1,0,4,5,0,0
17,TXRX4,2022-07-27,4.0,4.0,4.0,4.0,100,1,0,0,1,0,0
18,TXRX4,2022-07-29,4.3,4.32,4.3,4.32,300,3,0,0,3,0,0
19,TXRX4,2022-08-01,4.22,4.5,4.22,4.22,700,2,0,2,4,0,0
20,TXRX4,2022-08-03,4.22,5.2,4.22,4.72,1900,7,1,11,19,0,0
21,TXRX4,2022-08-08,4.2,4.2,4.15,4.15,1300,4,0,5,9,0,0
22,TXRX4,2022-08-09,4.1,4.1,4.1,4.1,300,1,0,0,1,0,0
23,TXRX4,2022-08-10,4.05,4.05,4.05,4.05,100,1,0,0,1,0,0
24,TXRX4,2022-08-15,4.0,4.0,4.0,4.0,600,6,0,0,6,0,0
25,TXRX4,2022-08-16,4.0,4.0,3.7,3.71,1000,5,0,1,6,0,0
26,TXRX4,2022-08-18,3.9,4.25,3.9,4.24,3600,12,0,9,21,0,0
27,TXRX4,2022-08-19,4.39,4.4,4.34,4.4,700,4,0,0,4,0,0
28,TXRX4,2022-08-22,4.55,4.89,4.55,4.69,2200,10,0,8,18,0,0
29,TXRX4,2022-08-23,4.7,6.29,4.7,5.21,9200,54,1,21,76,0,0
30,TXRX4,2022-08-24,5.05,5.5,4.91,5.16,2700,5,0,9,14,0,0
31,TXRX4,2022-08-25,5.0,5.38,5.0,5.03,2400,4,0,10,14,0,0
32,TXRX4,2022-08-26,5.04,5.34,4.81,5.04,4500,8,2,11,21,0,0
33,TXRX4,2022-08-29,5.34,5.95,5.16,5.16,14900,41,0,45,86,0,0
34,TXRX4,2022-08-30,5.1,5.3,5.05,5.15,900,3,0,2,5,0,0
35,TXRX4,2022-08-31,5.16,5.16,5.0,5.09,1100,2,0,5,7,0,0
36,TXRX4,2022-09-01,5.0,5.0,4.41,4.41,9100,4,0,21,25,0,0
37,TXRX4,2022-09-02,4.6,4.6,4.27,4.37,2100,7,0,3,10,0,0
38,TXRX4,2022-09-05,4.2,4.32,4.2,4.2,1900,5,0,9,14,0,0
39,TXRX4,2022-09-06,4.48,4.59,4.26,4.46,2300,8,0,5,13,0,0
40,TXRX4,2022-09-08,4.41,4.41,4.41,4.41,300,0,0,1,1,0,0
41,TXRX4,2022-09-09,4.45,4.5,4.45,4.5,800,1,0,3,4,0,0
42,TXRX4,2022-09-12,4.6,4.65,4.4,4.4,1000,6,0,3,9,0,0
43,TXRX4,2022-09-13,4.4,4.8,4.4,4.65,3300,8,0,5,13,0,0
