,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,UCAS3,2022-06-06,3.12,3.2,3.07,3.07,19000,21,0,41,62,0,0
1,UCAS3,2022-06-07,3.07,3.1,2.99,3.01,102200,38,0,167,205,0,0
2,UCAS3,2022-06-08,3.0,3.09,2.98,3.05,15800,11,0,31,42,0,0
3,UCAS3,2022-06-09,3.08,3.08,3.01,3.04,25700,43,0,86,129,0,0
4,UCAS3,2022-06-10,3.0,3.09,2.94,3.0,81900,86,0,71,157,0,0
5,UCAS3,2022-06-13,2.95,2.95,2.89,2.9,37500,34,0,50,84,0,0
6,UCAS3,2022-06-14,2.89,2.97,2.83,2.84,37600,6,1,43,50,0,0
7,UCAS3,2022-06-15,2.82,2.95,2.82,2.86,59700,21,0,87,108,0,0
8,UCAS3,2022-06-17,2.78,2.91,2.78,2.91,55700,41,0,21,62,0,0
9,UCAS3,2022-06-20,2.83,2.89,2.76,2.76,104700,75,0,59,134,0,0
10,UCAS3,2022-06-21,2.79,2.86,2.78,2.85,8400,8,0,21,29,0,0
11,UCAS3,2022-06-22,2.85,2.85,2.7,2.85,189300,58,1,154,213,0,0
12,UCAS3,2022-06-23,2.77,2.82,2.74,2.8,90900,18,1,209,228,0,0
13,UCAS3,2022-06-24,2.79,2.9,2.75,2.9,163400,50,0,21,71,0,0
14,UCAS3,2022-06-27,2.82,2.93,2.81,2.91,15100,24,0,10,34,0,0
15,UCAS3,2022-06-28,2.9,2.93,2.8,2.81,16200,12,0,29,41,0,0
16,UCAS3,2022-06-29,2.81,2.86,2.72,2.81,29700,8,0,29,37,0,0
17,UCAS3,2022-06-30,2.86,2.86,2.66,2.73,36400,20,1,87,108,0,0
18,UCAS3,2022-07-01,2.66,2.77,2.66,2.75,17700,15,0,15,30,0,0
19,UCAS3,2022-07-04,2.7,2.8,2.7,2.79,34600,22,0,69,91,0,0
20,UCAS3,2022-07-05,2.79,2.8,2.47,2.55,1241200,248,0,468,716,0,0
21,UCAS3,2022-07-06,2.58,2.58,2.44,2.55,110100,76,0,97,173,0,0
22,UCAS3,2022-07-07,2.56,2.56,2.35,2.42,759900,239,0,302,541,0,0
23,UCAS3,2022-07-08,2.43,2.48,2.43,2.43,46200,113,1,45,159,0,0
24,UCAS3,2022-07-11,2.4,2.45,2.33,2.35,52300,35,0,51,86,0,0
25,UCAS3,2022-07-12,2.34,2.46,2.34,2.43,108300,52,0,47,99,0,0
26,UCAS3,2022-07-13,2.4,2.48,2.39,2.39,95300,46,0,65,111,0,0
27,UCAS3,2022-07-14,2.45,2.45,2.34,2.36,117600,83,0,49,132,0,0
28,UCAS3,2022-07-15,2.41,2.41,2.36,2.37,59100,25,0,26,51,0,0
29,UCAS3,2022-07-18,2.37,2.41,2.31,2.31,75400,30,1,54,85,0,0
30,UCAS3,2022-07-19,2.3,2.38,2.3,2.32,23800,32,0,45,77,0,0
31,UCAS3,2022-07-20,2.33,2.43,2.33,2.43,147800,154,0,39,193,0,0
32,UCAS3,2022-07-21,2.42,2.48,2.39,2.45,38000,98,0,34,132,0,0
33,UCAS3,2022-07-22,2.47,2.52,2.41,2.47,79300,95,0,48,143,0,0
34,UCAS3,2022-07-25,2.47,2.5,2.37,2.37,25900,60,0,26,86,0,0
35,UCAS3,2022-07-26,2.36,2.46,2.35,2.38,31000,15,0,19,34,0,0
36,UCAS3,2022-07-27,2.46,2.53,2.39,2.53,58500,65,0,16,81,0,0
37,UCAS3,2022-07-28,2.52,2.6,2.49,2.6,122000,54,1,23,78,0,0
38,UCAS3,2022-07-29,2.59,2.59,2.43,2.47,123600,77,0,76,153,0,0
39,UCAS3,2022-08-01,2.47,2.54,2.43,2.54,52500,45,0,38,83,0,0
40,UCAS3,2022-08-02,2.53,2.58,2.53,2.55,47300,13,0,76,89,0,0
41,UCAS3,2022-08-03,2.56,2.58,2.54,2.57,19300,32,0,23,55,0,0
42,UCAS3,2022-08-08,2.69,2.75,2.68,2.75,23900,31,0,17,48,0,0
43,UCAS3,2022-08-09,2.75,2.75,2.66,2.7,40500,43,0,26,69,0,0
44,UCAS3,2022-08-10,2.72,2.78,2.7,2.74,48500,41,1,20,62,0,0
45,UCAS3,2022-08-12,2.95,2.97,2.9,2.97,57300,40,3,41,84,0,0
46,UCAS3,2022-08-15,2.98,2.98,2.88,2.89,77600,38,0,77,115,0,0
47,UCAS3,2022-08-16,2.88,2.92,2.8,2.82,72500,41,0,65,106,0,0
48,UCAS3,2022-08-17,2.83,2.83,2.75,2.75,58700,25,0,56,81,0,0
49,UCAS3,2022-08-18,2.78,2.81,2.72,2.73,27900,26,0,31,57,0,0
50,UCAS3,2022-08-19,2.73,2.73,2.62,2.64,80300,34,1,52,87,0,0
51,UCAS3,2022-08-22,2.68,2.68,2.56,2.6,30800,29,0,43,72,0,0
52,UCAS3,2022-08-23,2.58,2.79,2.58,2.79,64500,23,0,37,60,0,0
53,UCAS3,2022-08-24,2.71,2.92,2.71,2.8,105500,51,0,149,200,0,0
54,UCAS3,2022-08-25,2.76,2.98,2.76,2.98,44600,54,0,27,81,0,0
55,UCAS3,2022-08-26,2.89,2.97,2.89,2.97,24700,7,0,31,38,0,0
56,UCAS3,2022-08-29,2.96,3.01,2.88,2.97,32800,21,0,25,46,0,0
57,UCAS3,2022-08-30,2.99,2.99,2.93,2.93,9400,7,0,11,18,0,0
58,UCAS3,2022-08-31,2.86,2.92,2.75,2.88,17500,23,1,17,41,0,0
59,UCAS3,2022-09-01,2.92,3.01,2.84,2.96,66100,37,0,46,83,0,0
60,UCAS3,2022-09-02,3.04,3.19,3.01,3.16,93300,35,0,68,103,0,0
61,UCAS3,2022-09-05,3.16,3.26,3.05,3.25,74600,37,0,66,103,0,0
62,UCAS3,2022-09-06,3.25,3.25,3.0,3.04,46800,20,0,56,76,0,0
63,UCAS3,2022-09-08,3.0,3.04,2.91,2.92,27200,12,0,36,48,0,0
