,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,UGPA3,2022-06-06,13.75,13.9,13.22,13.44,6173700,6166,110,7222,13493,5,0
1,UGPA3,2022-06-07,13.32,13.35,12.94,13.26,7011100,5021,127,10462,15607,3,0
2,UGPA3,2022-06-08,13.1,13.19,12.82,13.06,7310400,10636,164,7289,18085,4,0
3,UGPA3,2022-06-09,12.93,13.22,12.69,13.08,7104700,8379,154,5082,13612,3,0
4,UGPA3,2022-06-10,12.74,12.89,12.56,12.74,5422800,7219,193,8262,15674,0,0
5,UGPA3,2022-06-13,12.62,12.64,12.11,12.26,7899000,8682,2073,4106,12987,1874,0
6,UGPA3,2022-06-14,12.29,12.36,12.06,12.23,4492300,7417,89,6401,13907,0,0
7,UGPA3,2022-06-15,12.4,12.54,12.18,12.4,9387000,12253,166,10328,22740,7,0
8,UGPA3,2022-06-17,12.28,12.32,11.83,12.1,13926900,9949,249,8558,18756,0,0
9,UGPA3,2022-06-20,12.22,12.26,11.87,12.02,3762100,3352,65,4154,7571,0,0
10,UGPA3,2022-06-21,12.07,12.28,12.0,12.25,5354800,5332,149,6649,12129,1,0
11,UGPA3,2022-06-22,12.01,12.78,12.0,12.53,11795600,7029,150,8904,16081,2,0
12,UGPA3,2022-06-23,12.6,12.67,11.97,12.11,6010800,5384,162,8362,13905,3,0
13,UGPA3,2022-06-24,12.17,12.4,12.02,12.17,6397900,10326,104,10924,21354,0,0
14,UGPA3,2022-06-27,12.29,12.67,12.25,12.65,5331100,7353,145,7474,14971,1,0
15,UGPA3,2022-06-28,12.73,12.8,12.47,12.7,5759900,6048,131,5246,11425,0,0
16,UGPA3,2022-06-29,12.81,12.82,12.46,12.55,5271000,6310,152,7396,13858,0,0
17,UGPA3,2022-06-30,12.26,12.5,12.15,12.22,4449300,4688,236,6671,11595,0,0
18,UGPA3,2022-07-01,12.17,12.31,12.07,12.2,3233700,3258,168,4413,7838,1,0
19,UGPA3,2022-07-04,12.05,12.22,11.8,11.8,2892600,2298,111,3241,5650,0,0
20,UGPA3,2022-07-05,11.71,11.79,11.46,11.79,4865300,5671,153,6752,12576,0,0
21,UGPA3,2022-07-06,11.65,11.97,11.6,11.87,3403500,4582,187,5183,9952,0,0
22,UGPA3,2022-07-07,11.97,12.14,11.84,11.9,4123800,5607,140,6531,12277,1,0
23,UGPA3,2022-07-08,11.83,12.03,11.7,11.93,4508700,6169,98,4859,11126,0,0
24,UGPA3,2022-07-11,11.75,12.04,11.6,11.85,4926600,6553,98,8888,15539,0,0
25,UGPA3,2022-07-12,11.92,12.14,11.73,12.12,7467700,11323,147,6580,18048,2,0
26,UGPA3,2022-07-13,11.98,12.17,11.86,11.94,7181500,7588,108,7029,14723,2,0
27,UGPA3,2022-07-14,11.83,12.04,11.71,11.91,3101500,3504,99,3952,7555,0,0
