,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,UNIP5,2022-06-06,99.12,99.12,99.12,99.12,200,0,0,2,2,0,0
1,UNIP5,2022-06-17,94.99,94.99,94.99,94.99,300,0,0,3,3,0,0
2,UNIP5,2022-06-20,94.99,94.99,89.01,89.01,300,1,0,2,3,0,0
3,UNIP5,2022-06-23,95.9,95.9,95.9,95.9,100,1,0,0,1,0,0
4,UNIP5,2022-06-24,93.99,93.99,93.99,93.99,100,0,0,1,1,0,0
5,UNIP5,2022-06-27,94.0,94.0,93.15,93.15,400,3,0,1,4,0,0
6,UNIP5,2022-06-28,95.1,95.1,95.1,95.1,100,1,0,0,1,0,0
7,UNIP5,2022-06-29,95.5,95.5,93.61,93.61,400,1,0,3,4,0,0
8,UNIP5,2022-07-01,93.9,93.9,93.9,93.9,200,2,0,0,2,0,0
9,UNIP5,2022-07-04,93.9,93.9,93.4,93.4,300,1,0,2,3,0,0
10,UNIP5,2022-07-05,90.01,90.01,90.0,90.0,400,0,0,3,3,0,0
11,UNIP5,2022-07-07,88.92,88.92,88.92,88.92,200,2,0,0,2,0,0
12,UNIP5,2022-07-08,90.0,90.0,90.0,90.0,100,0,0,1,1,0,0
13,UNIP5,2022-07-11,90.0,90.0,90.0,90.0,100,0,0,1,1,0,0
14,UNIP5,2022-07-13,89.0,89.0,89.0,89.0,200,0,0,2,2,0,0
15,UNIP5,2022-07-14,86.0,86.0,85.9,85.9,200,0,0,2,2,0,0
16,UNIP5,2022-07-15,85.03,85.03,85.03,85.03,100,0,0,1,1,0,0
17,UNIP5,2022-07-18,83.81,83.81,82.01,82.01,700,0,0,6,6,0,0
18,UNIP5,2022-07-19,89.0,89.0,88.97,88.97,200,0,1,1,2,0,0
19,UNIP5,2022-07-20,84.83,88.99,84.83,85.27,500,2,1,2,5,0,0
20,UNIP5,2022-07-21,86.5,86.5,86.5,86.5,700,2,0,0,2,0,0
21,UNIP5,2022-07-22,90.0,90.0,89.99,90.0,300,2,0,1,3,0,0
22,UNIP5,2022-07-27,88.5,88.5,88.5,88.5,200,0,2,0,2,0,0
23,UNIP5,2022-07-29,87.7,87.7,84.0,84.0,300,1,0,2,3,0,0
24,UNIP5,2022-08-01,84.01,84.01,83.2,84.01,600,1,1,3,5,0,0
25,UNIP5,2022-08-03,86.0,86.0,85.03,85.03,600,2,0,3,5,0,0
26,UNIP5,2022-08-08,85.5,85.51,85.5,85.5,200,0,0,2,2,0,0
27,UNIP5,2022-08-09,84.0,84.0,84.0,84.0,600,1,0,1,2,0,0
28,UNIP5,2022-08-10,87.45,87.45,86.5,86.5,2000,6,0,2,8,0,0
29,UNIP5,2022-08-12,90.0,97.3,90.0,96.79,2300,11,0,6,17,0,0
30,UNIP5,2022-08-15,96.0,98.0,95.1,97.79,1300,5,1,6,12,0,0
31,UNIP5,2022-08-16,97.79,97.99,97.79,97.95,900,7,1,1,9,0,0
32,UNIP5,2022-08-18,94.99,96.97,94.99,96.97,500,2,3,0,5,0,0
33,UNIP5,2022-08-19,96.96,96.96,96.92,96.96,1000,4,0,0,4,0,0
34,UNIP5,2022-08-22,95.0,97.85,94.98,97.69,1300,10,0,1,11,0,0
35,UNIP5,2022-08-23,97.69,97.69,97.6,97.6,200,0,0,2,2,0,0
36,UNIP5,2022-08-24,97.68,98.0,97.68,98.0,1600,7,0,0,7,0,0
37,UNIP5,2022-08-25,98.0,98.0,95.22,95.22,600,1,0,1,2,0,0
38,UNIP5,2022-08-29,96.99,97.1,96.99,97.1,3100,16,0,0,16,0,0
39,UNIP5,2022-08-30,96.56,96.57,96.56,96.56,200,0,0,2,2,0,0
40,UNIP5,2022-08-31,99.9,99.9,98.83,98.83,400,4,0,0,4,0,0
41,UNIP5,2022-09-01,100.0,100.8,97.6,100.8,2500,11,0,3,14,0,0
42,UNIP5,2022-09-02,101.0,101.0,100.0,100.0,1700,7,0,0,7,0,0
43,UNIP5,2022-09-05,100.0,100.0,98.0,98.0,600,2,1,2,5,0,0
44,UNIP5,2022-09-06,99.99,100.0,98.0,98.0,600,2,0,4,6,0,0
45,UNIP5,2022-09-09,99.0,99.0,96.9,96.9,2800,9,0,10,19,0,0
46,UNIP5,2022-09-12,98.98,99.0,97.75,97.75,1400,11,0,1,12,0,0
47,UNIP5,2022-09-13,96.53,96.53,94.01,94.01,600,1,0,5,6,0,0
48,UNIP5,2022-09-15,93.5,95.99,93.5,95.99,300,2,0,1,3,0,0
49,UNIP5,2022-09-16,95.98,96.0,94.73,96.0,1200,8,0,3,11,0,0
50,UNIP5,2022-09-19,95.99,96.9,95.99,96.9,3300,13,2,1,16,0,0
51,UNIP5,2022-09-21,97.0,97.0,97.0,97.0,100,0,0,1,1,0,0
52,UNIP5,2022-09-22,98.13,98.13,98.13,98.13,100,1,0,0,1,0,0
53,UNIP5,2022-09-23,94.0,97.43,94.0,97.43,200,1,0,1,2,0,0
54,UNIP5,2022-09-28,96.18,96.29,96.18,96.29,200,2,0,0,2,0,0
55,UNIP5,2022-09-30,96.3,96.3,96.3,96.3,100,0,0,1,1,0,0
56,UNIP5,2022-10-03,97.68,97.68,97.51,97.51,300,1,0,2,3,0,0
57,UNIP5,2022-10-06,98.1,98.1,98.1,98.1,100,1,0,0,1,0,0
58,UNIP5,2022-10-10,99.28,99.28,99.28,99.28,100,0,0,1,1,0,0
59,UNIP5,2022-10-13,100.0,100.0,100.0,100.0,200,1,0,0,1,0,0
60,UNIP5,2022-10-17,102.53,102.53,102.53,102.53,100,1,0,0,1,0,0
61,UNIP5,2022-10-18,101.14,101.14,101.14,101.14,100,0,0,1,1,0,0
62,UNIP5,2022-10-19,104.39,104.81,103.0,103.0,600,6,0,0,6,0,0
63,UNIP5,2022-10-20,103.5,103.5,103.5,103.5,100,0,0,1,1,0,0
64,UNIP5,2022-10-21,103.8,107.99,103.8,107.21,1000,3,0,5,8,0,0
65,UNIP5,2022-10-25,106.0,106.0,103.0,103.0,400,0,0,4,4,0,0
66,UNIP5,2022-10-26,104.0,104.0,104.0,104.0,100,0,0,1,1,0,0
67,UNIP5,2022-10-27,107.5,107.5,107.5,107.5,100,1,0,0,1,0,0
68,UNIP5,2022-11-01,107.46,107.46,107.46,107.46,100,1,0,0,1,0,0
69,UNIP5,2022-11-03,105.01,112.99,105.01,112.99,500,5,0,0,5,0,0
70,UNIP5,2022-11-04,111.93,111.93,111.93,111.93,100,0,0,1,1,0,0
71,UNIP5,2022-11-07,111.93,111.93,111.93,111.93,100,1,0,0,1,0,0
72,UNIP5,2022-11-08,111.87,112.35,111.0,112.33,2400,2,0,13,15,0,0
73,UNIP5,2022-11-10,110.0,110.0,110.0,110.0,300,0,0,2,2,0,0
74,UNIP5,2022-11-14,112.76,113.98,112.76,113.98,300,1,0,2,3,0,0
75,UNIP5,2022-11-17,101.99,101.99,98.0,98.0,400,1,0,3,4,0,0
76,UNIP5,2022-11-18,99.18,99.18,99.18,99.18,100,0,0,1,1,0,0
77,UNIP5,2022-11-21,93.01,93.91,91.5,93.91,700,1,0,6,7,0,0
78,UNIP5,2022-11-22,93.91,96.01,89.81,92.0,2200,6,0,11,17,0,0
79,UNIP5,2022-11-23,93.01,94.13,93.01,94.13,700,2,0,2,4,0,0
80,UNIP5,2022-11-24,96.62,97.99,96.61,97.99,500,4,0,0,4,0,0
81,UNIP5,2022-11-25,98.6,99.89,97.58,97.58,500,4,1,0,5,0,0
82,UNIP5,2022-11-28,96.99,96.99,96.99,96.99,100,1,0,0,1,0,0
83,UNIP5,2022-11-29,97.66,97.66,97.3,97.66,500,3,0,2,5,0,0
84,UNIP5,2022-11-30,99.5,99.5,96.16,96.16,500,2,0,3,5,0,0
85,UNIP5,2022-12-01,96.94,98.48,96.94,98.45,400,3,0,1,4,0,0
86,UNIP5,2022-12-02,98.59,98.59,97.57,97.57,200,0,0,2,2,0,0
87,UNIP5,2022-12-05,97.57,97.57,97.57,97.57,100,1,0,0,1,0,0
88,UNIP5,2022-12-07,96.5,96.5,96.5,96.5,300,0,0,1,1,0,0
89,UNIP5,2022-12-09,93.0,95.27,93.0,94.5,800,4,0,2,6,0,0
90,UNIP5,2022-12-12,95.07,95.07,92.51,92.51,300,0,1,2,3,0,0
91,UNIP5,2022-12-13,94.49,94.49,94.49,94.49,100,1,0,0,1,0,0
92,UNIP5,2022-12-14,91.7,91.7,91.3,91.5,600,1,0,5,6,0,0
93,UNIP5,2022-12-15,96.89,97.0,95.44,95.64,900,6,0,1,7,0,0
94,UNIP5,2022-12-16,96.5,96.5,91.95,91.96,700,1,0,5,6,0,0
95,UNIP5,2022-12-19,91.97,92.99,91.97,92.99,200,0,0,2,2,0,0
96,UNIP5,2022-12-21,93.5,93.5,93.5,93.5,100,0,0,1,1,0,0
97,UNIP5,2022-12-22,94.98,94.98,94.95,94.95,200,2,0,0,2,0,0
98,UNIP5,2022-12-26,95.67,95.67,95.67,95.67,100,1,0,0,1,0,0
99,UNIP5,2022-12-28,94.0,94.0,92.64,92.64,200,1,0,1,2,0,0
100,UNIP5,2022-12-29,93.68,93.68,93.67,93.67,200,2,0,0,2,0,0
