,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,USIM3,2022-06-06,11.12,11.18,10.76,10.82,256100,266,14,494,774,0,0
1,USIM3,2022-06-07,10.82,10.82,10.6,10.6,122000,186,12,335,533,0,0
2,USIM3,2022-06-08,10.6,10.6,10.26,10.39,608800,531,31,899,1461,0,0
3,USIM3,2022-06-09,10.24,10.38,9.9,10.0,674000,626,32,1140,1798,0,0
4,USIM3,2022-06-10,9.85,9.95,9.6,9.9,493300,788,16,826,1630,0,0
5,USIM3,2022-06-13,9.69,9.7,9.15,9.55,527300,993,47,752,1792,0,0
6,USIM3,2022-06-14,9.56,9.56,9.14,9.29,824100,1078,22,1322,2422,0,0
7,USIM3,2022-06-15,9.43,9.65,9.25,9.35,654000,787,28,1313,2128,0,0
8,USIM3,2022-06-17,9.15,9.15,8.7,8.84,1089300,998,42,1481,2521,0,0
9,USIM3,2022-06-20,8.76,8.87,8.42,8.8,744500,700,41,1040,1781,0,0
10,USIM3,2022-06-21,8.85,9.03,8.55,8.66,1487200,1140,66,1953,3159,0,0
11,USIM3,2022-06-22,8.5,8.8,8.32,8.79,448200,573,53,640,1266,0,0
12,USIM3,2022-06-23,8.8,8.93,8.3,8.3,899700,887,83,1981,2950,1,0
13,USIM3,2022-06-24,8.44,8.63,8.36,8.56,1035000,1005,43,2205,3253,0,0
14,USIM3,2022-06-27,8.63,8.9,8.63,8.73,592700,900,33,1214,2147,0,0
15,USIM3,2022-06-28,8.87,8.97,8.54,8.71,445700,693,37,844,1574,0,0
16,USIM3,2022-06-29,8.66,8.69,8.43,8.56,553800,675,46,1127,1848,0,0
17,USIM3,2022-06-30,8.48,8.48,8.11,8.19,803600,936,29,1708,2673,0,0
18,USIM3,2022-07-01,8.21,8.23,7.99,8.15,507300,628,86,710,1424,0,0
19,USIM3,2022-07-04,8.06,8.2,7.99,8.14,248900,299,0,253,552,0,0
20,USIM3,2022-07-05,8.09,8.16,7.85,8.14,490200,1042,44,600,1686,0,0
21,USIM3,2022-07-06,8.15,8.34,8.06,8.26,294000,890,23,480,1393,0,0
22,USIM3,2022-07-07,8.4,8.65,8.38,8.43,408600,914,37,734,1685,0,0
23,USIM3,2022-07-08,8.4,8.54,8.25,8.3,233300,575,19,461,1055,0,0
24,USIM3,2022-07-11,8.18,8.18,7.96,8.05,409300,851,30,833,1714,0,0
25,USIM3,2022-07-12,8.04,8.09,7.92,8.01,355600,648,24,557,1229,0,0
26,USIM3,2022-07-13,7.96,8.15,7.93,8.06,384700,1087,0,810,1897,0,0
27,USIM3,2022-07-14,7.98,8.04,7.81,7.87,545600,673,51,773,1497,0,0
28,USIM3,2022-07-15,7.9,8.36,7.76,8.17,532300,1965,41,962,2968,0,0
29,USIM3,2022-07-18,8.32,8.34,8.01,8.01,972300,1535,28,967,2530,0,0
