,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,VBBR3,2022-06-06,18.97,18.97,18.08,18.44,11187900,13630,231,12965,26815,11,0
1,VBBR3,2022-06-07,18.22,18.74,18.05,18.66,16903400,18575,196,13733,32502,2,0
2,VBBR3,2022-06-08,18.53,18.63,18.21,18.36,13189300,11022,213,14758,25986,7,0
3,VBBR3,2022-06-09,18.32,18.38,17.94,18.23,17989600,16571,221,13922,30705,9,0
4,VBBR3,2022-06-10,17.93,17.97,17.3,17.52,15662200,17573,471,26329,44188,185,0
5,VBBR3,2022-06-13,17.27,17.38,16.76,17.0,12999500,14818,353,9458,24618,11,0
6,VBBR3,2022-06-14,16.97,17.17,16.73,17.12,10571300,8725,142,12487,21345,9,0
7,VBBR3,2022-06-15,17.25,17.45,16.98,17.23,15034100,18309,240,23487,42026,10,0
8,VBBR3,2022-06-17,16.8,16.99,16.61,16.81,16503300,13810,606,20101,34261,256,0
9,VBBR3,2022-06-20,16.79,16.96,16.49,16.81,13632400,7050,174,9231,16454,1,0
10,VBBR3,2022-06-21,16.9,17.34,16.81,17.34,9268800,10329,161,12068,22549,9,0
11,VBBR3,2022-06-22,16.84,17.73,16.8,17.4,10937100,10551,245,9512,20300,8,0
12,VBBR3,2022-06-23,17.57,17.69,16.71,16.71,8495900,8780,221,14292,23290,3,0
13,VBBR3,2022-06-24,17.09,17.09,16.53,16.77,13741300,12976,172,19522,32669,1,0
14,VBBR3,2022-06-27,16.86,17.03,16.56,16.75,9034300,11706,178,12664,24545,3,0
15,VBBR3,2022-06-28,16.87,17.27,16.73,17.03,7311100,9926,176,10591,20690,3,0
16,VBBR3,2022-06-29,17.02,17.18,16.77,16.77,7533200,9597,149,13677,23418,5,0
17,VBBR3,2022-06-30,16.53,16.89,16.34,16.6,13740700,10396,633,12160,22877,312,0
18,VBBR3,2022-07-01,16.74,17.02,16.5,16.89,10889900,9704,287,11567,21556,2,0
19,VBBR3,2022-07-04,16.79,16.92,16.35,16.35,4906300,7243,554,7448,14831,414,0
20,VBBR3,2022-07-05,16.18,16.49,15.92,16.49,13327100,11717,270,15785,27763,9,0
21,VBBR3,2022-07-06,16.28,16.55,16.16,16.28,10039700,13821,225,11918,25958,6,0
22,VBBR3,2022-07-07,16.52,16.74,16.45,16.6,8105800,10104,186,8902,19189,3,0
23,VBBR3,2022-07-08,16.56,16.71,16.39,16.58,6082200,7806,141,6622,14561,8,0
24,VBBR3,2022-07-11,16.41,16.54,16.06,16.13,7378100,9406,173,12266,21843,2,0
25,VBBR3,2022-07-12,16.18,16.59,15.96,16.3,7423900,9494,162,14304,23957,3,0
26,VBBR3,2022-07-13,16.16,16.97,16.11,16.79,12092800,14355,170,14059,28582,2,0
27,VBBR3,2022-07-14,16.47,16.99,16.43,16.8,6532100,8760,200,12603,21562,1,0
28,VBBR3,2022-07-15,16.94,17.01,16.64,16.74,6370700,12202,157,10491,22848,2,0
29,VBBR3,2022-07-18,17.01,17.13,16.4,16.41,7754000,7290,178,10725,18188,5,0
30,VBBR3,2022-07-19,16.51,16.65,16.08,16.2,8911900,9683,167,13591,23439,2,0
31,VBBR3,2022-07-20,16.02,17.35,15.97,16.84,36441700,24988,265,25780,51006,27,0
32,VBBR3,2022-07-21,16.79,17.06,16.63,17.0,8040000,12532,228,9125,21879,6,0
33,VBBR3,2022-07-22,16.98,16.98,16.44,16.56,5815900,6876,167,8085,15127,1,0
