,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,VIIA3,2022-06-06,3.15,3.18,2.98,3.0,31910300,12932,395,8018,21343,2,0
1,VIIA3,2022-06-07,2.96,2.98,2.9,2.93,28830300,9608,158,9375,19141,0,0
2,VIIA3,2022-06-08,2.89,3.07,2.88,3.04,40874000,9834,270,14944,25047,1,0
3,VIIA3,2022-06-09,2.97,3.04,2.87,2.93,40169600,17931,280,14162,32373,0,0
4,VIIA3,2022-06-10,2.93,2.93,2.81,2.85,44358800,12666,351,7898,20909,6,0
5,VIIA3,2022-06-13,2.72,2.74,2.54,2.56,64610500,29755,588,14691,45032,2,0
6,VIIA3,2022-06-14,2.58,2.59,2.28,2.29,87357300,28763,491,39096,68347,3,0
7,VIIA3,2022-06-15,2.34,2.42,2.25,2.3,79235600,19300,397,41436,61125,8,0
8,VIIA3,2022-06-17,2.24,2.27,2.18,2.2,69765700,20978,1284,12592,34209,645,0
9,VIIA3,2022-06-20,2.22,2.31,2.14,2.25,58387800,10245,563,13228,23694,342,0
10,VIIA3,2022-06-21,2.27,2.34,2.21,2.23,43052700,9154,559,12909,22262,360,0
11,VIIA3,2022-06-22,2.18,2.37,2.16,2.27,51380300,8519,315,11165,19997,2,0
12,VIIA3,2022-06-23,2.28,2.46,2.28,2.4,40417500,9820,142,13692,23653,1,0
13,VIIA3,2022-06-24,2.44,2.44,2.26,2.28,41680700,10465,302,11175,21939,3,0
14,VIIA3,2022-06-27,2.28,2.34,2.2,2.21,36665100,13425,225,8894,22542,2,0
15,VIIA3,2022-06-28,2.22,2.24,2.07,2.08,49006000,10066,272,21855,32193,0,0
16,VIIA3,2022-06-29,2.1,2.15,2.02,2.08,60213300,7590,987,15738,23593,722,0
17,VIIA3,2022-06-30,2.05,2.13,1.91,1.93,87849000,10873,495,16763,28128,3,0
18,VIIA3,2022-07-01,1.93,1.93,1.85,1.9,53398400,19151,332,11072,30553,2,0
19,VIIA3,2022-07-04,1.87,1.93,1.82,1.83,35387000,5449,274,8645,14366,2,0
20,VIIA3,2022-07-05,1.78,2.07,1.76,2.02,81572100,17802,574,12667,31042,1,0
21,VIIA3,2022-07-06,2.02,2.35,2.01,2.33,104704500,28287,404,14292,42983,0,0
22,VIIA3,2022-07-07,2.37,2.45,2.26,2.32,88108000,42354,350,14951,57652,3,0
23,VIIA3,2022-07-08,2.32,2.45,2.25,2.44,67027500,10019,248,11869,22134,2,0
24,VIIA3,2022-07-11,2.36,2.41,2.29,2.33,54731300,13082,304,15683,29069,0,0
25,VIIA3,2022-07-12,2.36,2.65,2.31,2.57,98672000,13902,251,26847,40998,2,0
26,VIIA3,2022-07-13,2.48,2.62,2.46,2.5,58427500,14851,417,11697,26965,0,0
27,VIIA3,2022-07-14,2.48,2.66,2.45,2.45,71903000,10109,305,9039,19450,3,0
28,VIIA3,2022-07-15,2.5,2.52,2.35,2.38,64254800,8578,505,9417,18493,7,0
29,VIIA3,2022-07-18,2.41,2.59,2.3,2.31,67077400,11099,205,9559,20862,1,0
30,VIIA3,2022-07-19,2.33,2.38,2.23,2.33,56773500,10207,321,9921,20446,3,0
31,VIIA3,2022-07-20,2.3,2.65,2.3,2.64,82037100,19438,351,16639,36427,1,0
32,VIIA3,2022-07-21,2.63,2.68,2.56,2.63,49132400,10194,665,15110,25968,1,0
33,VIIA3,2022-07-22,2.64,2.67,2.44,2.49,48273200,8246,212,20700,29156,2,0
34,VIIA3,2022-07-25,2.51,2.56,2.48,2.51,32139800,5862,194,7314,13369,1,0
