,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,VITT3,2022-06-06,11.65,11.65,10.95,10.95,136600,339,25,359,722,1,0
1,VITT3,2022-06-07,11.19,11.19,10.52,10.98,187500,196,37,320,552,1,0
2,VITT3,2022-06-08,10.91,10.91,10.69,10.81,120200,140,24,193,356,1,0
3,VITT3,2022-06-09,10.7,10.95,10.39,10.77,172000,327,18,523,867,1,0
4,VITT3,2022-06-10,10.68,10.68,10.22,10.22,145000,170,37,184,389,2,0
5,VITT3,2022-06-13,10.05,10.28,9.88,9.9,207300,621,26,377,1023,1,0
6,VITT3,2022-06-14,9.94,10.02,9.71,9.75,201700,165,17,225,406,1,0
7,VITT3,2022-06-15,9.9,10.36,9.9,10.22,209300,136,16,92,243,1,0
8,VITT3,2022-06-17,9.95,10.07,9.8,9.8,167600,234,1,247,481,1,0
9,VITT3,2022-06-20,9.92,10.06,9.52,9.52,247600,150,21,215,385,1,0
10,VITT3,2022-06-21,9.87,9.96,9.51,9.62,217900,346,16,381,742,1,0
11,VITT3,2022-06-22,9.64,10.1,9.48,9.83,993400,699,33,770,1500,2,0
12,VITT3,2022-06-23,9.9,9.9,9.5,9.5,449000,226,36,282,543,1,0
13,VITT3,2022-06-24,9.6,9.63,9.13,9.4,1013600,678,2,2796,3474,2,0
14,VITT3,2022-06-27,9.45,9.7,9.36,9.38,401800,871,19,1127,2016,1,0
15,VITT3,2022-06-28,9.74,9.74,8.96,9.0,403600,394,29,795,1216,2,0
16,VITT3,2022-06-29,9.02,9.2,8.88,9.1,310400,461,18,515,993,1,0
17,VITT3,2022-06-30,8.99,9.21,8.88,9.21,559800,439,67,386,891,1,0
18,VITT3,2022-07-01,9.14,9.22,8.83,9.18,277800,286,18,238,540,2,0
19,VITT3,2022-07-04,9.18,9.18,8.92,8.93,36400,58,18,55,130,1,0
20,VITT3,2022-07-05,8.94,9.0,8.67,8.98,197900,170,14,124,307,1,0
21,VITT3,2022-07-06,8.86,9.15,8.85,8.99,100400,166,26,112,302,2,0
22,VITT3,2022-07-07,9.08,9.32,9.05,9.23,81100,229,24,164,416,1,0
23,VITT3,2022-07-08,9.21,9.39,9.13,9.2,74100,238,1,192,430,1,0
24,VITT3,2022-07-11,9.13,9.13,8.73,8.85,125500,170,8,317,494,1,0
25,VITT3,2022-07-12,8.85,9.02,8.7,9.02,92500,167,18,227,411,1,0
26,VITT3,2022-07-13,8.97,9.21,8.9,9.0,49400,184,1,142,326,1,0
27,VITT3,2022-07-14,8.95,9.1,8.88,9.0,69000,101,16,92,208,1,0
28,VITT3,2022-07-15,8.88,9.23,8.81,9.19,156600,141,16,80,234,3,0
29,VITT3,2022-07-18,8.92,9.22,8.92,9.03,98300,82,21,140,242,1,0
30,VITT3,2022-07-19,9.03,9.12,8.96,9.03,105200,177,25,174,375,1,0
31,VITT3,2022-07-20,8.97,9.75,8.97,9.75,51800,56,22,28,105,1,0
32,VITT3,2022-07-21,9.5,9.65,9.47,9.48,80600,103,24,115,241,1,0
33,VITT3,2022-07-22,9.55,9.99,9.24,9.28,218900,339,43,308,689,1,0
34,VITT3,2022-07-25,9.36,9.49,9.17,9.28,122000,103,9,119,230,1,0
35,VITT3,2022-07-26,9.4,9.5,9.14,9.24,238400,136,26,127,281,8,0
36,VITT3,2022-07-27,9.34,9.62,9.34,9.45,70100,112,17,83,211,1,0
37,VITT3,2022-07-28,9.32,9.7,9.32,9.5,72600,112,27,77,214,2,0
38,VITT3,2022-07-29,9.59,9.7,9.42,9.42,70400,62,18,53,132,1,0
39,VITT3,2022-08-01,9.35,9.62,9.26,9.35,76000,108,17,123,247,1,0
40,VITT3,2022-08-02,9.6,9.6,9.29,9.4,38900,48,24,70,141,1,0
41,VITT3,2022-08-03,9.5,9.6,9.3,9.43,81000,41,17,196,253,1,0
42,VITT3,2022-08-08,10.3,10.77,10.25,10.29,157800,425,15,315,754,1,0
43,VITT3,2022-08-09,10.16,10.36,10.05,10.23,103300,76,38,190,303,1,0
44,VITT3,2022-08-10,10.23,10.56,10.06,10.33,140300,132,17,106,253,2,0
45,VITT3,2022-08-12,10.5,10.55,10.25,10.31,232600,55,25,80,158,2,0
46,VITT3,2022-08-15,10.3,10.61,10.19,10.54,246700,197,39,143,375,4,0
47,VITT3,2022-08-16,10.6,10.7,10.31,10.65,308000,220,21,174,413,2,0
48,VITT3,2022-08-17,10.68,10.79,10.55,10.56,69100,56,4,38,97,1,0
49,VITT3,2022-08-18,10.6,10.8,10.3,10.56,172600,81,37,194,312,0,0
50,VITT3,2022-08-19,10.56,10.6,10.31,10.56,126500,232,16,250,498,0,0
51,VITT3,2022-08-22,10.51,10.51,10.31,10.31,134800,137,22,262,420,1,0
52,VITT3,2022-08-23,10.33,10.8,10.33,10.7,196800,914,28,531,1473,0,0
53,VITT3,2022-08-24,10.73,10.79,10.5,10.6,71600,49,18,93,159,1,0
54,VITT3,2022-08-25,10.73,10.87,10.6,10.75,71900,86,5,101,192,0,0
55,VITT3,2022-08-26,10.9,10.9,10.52,10.58,1258600,28,22,34,83,1,0
56,VITT3,2022-08-29,10.6,10.92,10.58,10.92,157500,238,31,236,498,7,0
57,VITT3,2022-08-30,10.85,10.92,10.62,10.92,264500,82,11,82,175,0,0
58,VITT3,2022-08-31,10.92,11.0,10.87,11.0,116700,37,31,26,92,2,0
59,VITT3,2022-09-01,10.9,11.42,10.76,11.4,463500,328,19,275,618,4,0
60,VITT3,2022-09-02,11.47,11.66,11.31,11.54,179400,100,16,157,270,3,0
61,VITT3,2022-09-05,11.6,11.98,11.46,11.88,175900,159,25,179,360,3,0
62,VITT3,2022-09-06,11.81,11.9,11.51,11.79,187200,162,11,176,347,2,0
63,VITT3,2022-09-08,11.75,11.94,11.72,11.87,67100,38,13,79,129,1,0
64,VITT3,2022-09-09,11.95,12.65,11.95,12.25,203400,394,35,322,750,1,0
65,VITT3,2022-09-12,12.21,12.39,12.1,12.27,49800,98,19,90,206,1,0
66,VITT3,2022-09-13,12.07,12.75,12.05,12.75,408800,190,22,343,554,1,0
67,VITT3,2022-09-15,13.16,13.7,13.16,13.3,369300,422,31,779,1230,2,0
68,VITT3,2022-09-16,13.22,14.03,13.22,13.8,156000,245,20,166,429,2,0
69,VITT3,2022-09-19,13.66,13.98,13.64,13.85,156600,134,18,239,390,1,0
70,VITT3,2022-09-20,13.75,14.27,13.69,14.0,236800,207,17,484,706,2,0
71,VITT3,2022-09-21,14.13,14.26,13.7,14.13,114400,177,49,203,428,1,0
72,VITT3,2022-09-22,14.06,14.15,13.7,13.8,110800,222,22,283,526,1,0
73,VITT3,2022-09-23,13.8,13.8,13.3,13.75,70000,102,22,132,255,1,0
74,VITT3,2022-09-27,13.63,13.75,13.27,13.27,120400,201,26,225,451,1,0
75,VITT3,2022-09-28,13.19,13.47,13.11,13.4,99400,142,28,160,329,1,0
76,VITT3,2022-09-29,13.1,13.31,12.83,13.31,138900,109,21,148,277,1,0
77,VITT3,2022-09-30,13.18,13.81,13.05,13.81,122200,179,24,118,320,1,0
78,VITT3,2022-10-03,14.0,14.0,13.44,14.0,80600,130,15,111,255,1,0
79,VITT3,2022-10-04,14.01,14.3,13.71,13.73,272300,121,27,180,327,1,0
80,VITT3,2022-10-05,13.78,13.99,13.62,13.85,86000,62,27,289,377,1,0
81,VITT3,2022-10-06,13.72,14.07,13.72,13.8,48900,102,19,57,177,1,0
82,VITT3,2022-10-07,13.58,14.15,13.58,14.0,46800,63,15,91,168,1,0
83,VITT3,2022-10-10,13.73,14.31,13.73,14.11,199100,428,23,205,655,1,0
84,VITT3,2022-10-11,13.97,14.35,13.96,14.21,147900,307,23,264,592,2,0
85,VITT3,2022-10-13,14.05,14.35,13.79,14.21,169200,187,28,247,462,0,0
86,VITT3,2022-10-14,14.15,14.15,13.81,14.07,85500,243,27,295,564,1,0
87,VITT3,2022-10-17,14.4,14.82,13.84,14.2,226700,464,46,356,864,2,0
88,VITT3,2022-10-18,14.8,14.8,14.01,14.25,56500,55,18,179,251,1,0
89,VITT3,2022-10-19,14.1,14.39,14.1,14.34,46200,96,26,82,202,2,0
90,VITT3,2022-10-20,14.17,14.36,13.94,13.94,41800,79,16,80,174,1,0
91,VITT3,2022-10-21,14.08,14.4,14.01,14.01,70600,158,32,109,298,1,0
92,VITT3,2022-10-24,13.9,14.25,13.83,14.18,40000,56,26,61,142,1,0
93,VITT3,2022-10-25,14.29,14.45,14.0,14.1,59700,96,13,150,258,1,0
94,VITT3,2022-10-26,14.18,14.18,14.01,14.01,60200,69,23,99,190,1,0
95,VITT3,2022-10-27,13.91,14.28,13.9,14.28,58000,45,30,42,116,1,0
96,VITT3,2022-10-28,14.15,14.5,13.88,14.5,77100,81,34,132,246,1,0
97,VITT3,2022-10-31,14.27,14.45,13.65,14.45,502900,138,31,259,425,3,0
98,VITT3,2022-11-01,14.25,14.86,14.19,14.6,147900,216,19,207,441,1,0
99,VITT3,2022-11-03,14.7,14.9,14.57,14.57,39500,37,19,35,90,1,0
100,VITT3,2022-11-04,14.66,15.65,14.63,15.65,134600,132,40,161,332,1,0
101,VITT3,2022-11-07,15.8,15.8,14.86,15.16,93100,105,30,144,278,1,0
102,VITT3,2022-11-08,15.4,15.5,14.91,14.99,45100,102,43,106,250,1,0
103,VITT3,2022-11-09,15.15,15.55,14.77,14.8,79900,103,18,98,218,1,0
104,VITT3,2022-11-10,14.48,14.8,13.88,14.38,130600,124,51,158,332,1,0
105,VITT3,2022-11-14,13.99,13.99,13.14,13.15,166400,364,34,242,640,0,0
106,VITT3,2022-11-17,12.68,12.68,11.37,11.85,584100,643,35,600,1276,2,0
107,VITT3,2022-11-18,12.0,12.1,11.28,11.9,1014200,518,35,456,1004,5,0
108,VITT3,2022-11-21,11.71,12.62,11.71,12.62,284900,258,34,206,496,2,0
109,VITT3,2022-11-22,12.99,13.03,11.95,12.05,287300,321,26,334,680,1,0
110,VITT3,2022-11-23,12.02,12.61,11.85,12.05,476000,484,28,432,942,2,0
111,VITT3,2022-11-24,12.02,12.82,12.02,12.7,107300,131,16,109,256,0,0
112,VITT3,2022-11-25,12.93,12.93,11.94,12.11,125500,190,40,219,449,0,0
113,VITT3,2022-11-28,11.98,12.52,11.88,12.26,426100,157,32,252,439,2,0
114,VITT3,2022-11-29,12.28,13.16,12.28,13.16,150100,164,36,252,452,0,0
115,VITT3,2022-11-30,13.24,13.68,12.9,13.25,408300,598,27,497,1119,3,0
116,VITT3,2022-12-01,13.47,13.57,12.96,13.0,587300,237,29,201,464,3,0
117,VITT3,2022-12-02,13.06,13.62,12.81,13.43,97500,183,18,217,418,0,0
118,VITT3,2022-12-05,13.36,13.62,12.78,13.43,168900,492,16,186,694,0,0
119,VITT3,2022-12-06,13.49,13.74,13.36,13.72,72500,196,18,126,339,1,0
120,VITT3,2022-12-07,13.59,13.78,13.23,13.75,116600,135,65,126,325,1,0
121,VITT3,2022-12-08,13.59,13.59,12.89,12.9,122300,214,27,253,493,1,0
122,VITT3,2022-12-09,13.1,13.12,12.72,12.96,72900,179,24,213,415,1,0
123,VITT3,2022-12-12,12.85,12.85,12.23,12.44,99600,172,38,187,397,0,0
124,VITT3,2022-12-13,12.44,12.89,12.21,12.25,1271800,449,31,511,988,3,0
125,VITT3,2022-12-14,12.17,12.76,12.05,12.6,166100,297,20,215,532,0,0
