,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,VIVR3,2022-06-06,0.89,0.9,0.86,0.87,1366200,202,0,415,617,0,0
1,VIVR3,2022-06-07,0.87,0.88,0.85,0.86,1243700,211,0,687,898,0,0
2,VIVR3,2022-06-08,0.87,0.87,0.84,0.85,1182500,161,0,303,464,0,0
3,VIVR3,2022-06-09,0.84,0.86,0.82,0.84,1772000,331,17,323,671,0,0
4,VIVR3,2022-06-10,0.83,0.84,0.79,0.81,2364500,464,17,531,1012,0,0
5,VIVR3,2022-06-13,0.78,0.79,0.74,0.75,1627700,799,0,394,1193,0,0
6,VIVR3,2022-06-14,0.75,0.77,0.7,0.71,2007200,288,17,530,835,0,0
7,VIVR3,2022-06-15,0.73,0.76,0.72,0.75,2739000,535,22,622,1179,0,0
8,VIVR3,2022-06-17,0.73,0.74,0.72,0.73,1276200,456,18,358,832,0,0
9,VIVR3,2022-06-20,0.73,0.74,0.69,0.72,2003500,195,16,359,570,0,0
10,VIVR3,2022-06-21,0.72,0.73,0.69,0.7,2095300,306,0,562,868,0,0
11,VIVR3,2022-06-22,0.69,0.71,0.68,0.7,1645700,351,16,351,718,0,0
12,VIVR3,2022-06-23,0.7,0.73,0.69,0.71,3644800,868,17,504,1389,0,0
13,VIVR3,2022-06-24,0.71,0.72,0.69,0.69,2041600,322,19,496,837,0,0
14,VIVR3,2022-06-27,0.7,0.72,0.69,0.69,1302400,248,13,417,678,0,0
15,VIVR3,2022-06-28,0.7,0.71,0.67,0.68,2018500,257,0,701,958,0,0
16,VIVR3,2022-06-29,0.67,0.68,0.62,0.62,2579800,318,37,641,996,0,0
17,VIVR3,2022-06-30,0.6,0.62,0.59,0.6,2826200,382,0,584,966,0,0
18,VIVR3,2022-07-01,0.6,0.62,0.58,0.61,1950900,438,0,771,1209,0,0
19,VIVR3,2022-07-04,0.6,0.63,0.59,0.6,1621300,266,23,344,633,0,0
20,VIVR3,2022-07-05,0.59,0.6,0.56,0.6,2093300,383,0,604,987,0,0
21,VIVR3,2022-07-06,0.6,0.64,0.58,0.63,4077200,757,2,565,1324,0,0
22,VIVR3,2022-07-07,0.64,0.67,0.62,0.66,2299500,667,0,245,912,0,0
23,VIVR3,2022-07-08,0.65,0.69,0.65,0.66,3993600,943,14,558,1515,0,0
24,VIVR3,2022-07-11,0.65,0.66,0.63,0.63,1871200,180,0,1727,1907,0,0
25,VIVR3,2022-07-12,0.63,0.67,0.61,0.65,3239400,472,0,388,860,0,0
26,VIVR3,2022-07-13,0.65,0.66,0.63,0.65,3250600,344,13,417,774,0,0
27,VIVR3,2022-07-14,0.64,0.65,0.62,0.62,1682900,241,0,313,554,0,0
28,VIVR3,2022-07-15,0.63,0.63,0.6,0.61,2059300,317,3,280,600,0,0
29,VIVR3,2022-07-18,0.61,0.63,0.58,0.58,2579500,321,15,391,727,0,0
30,VIVR3,2022-07-19,0.6,0.61,0.58,0.6,1626600,585,0,263,848,0,0
31,VIVR3,2022-07-20,0.59,0.64,0.59,0.62,3877800,496,0,488,984,0,0
32,VIVR3,2022-07-21,0.63,0.66,0.63,0.64,3661700,515,14,399,928,0,0
33,VIVR3,2022-07-22,0.65,0.66,0.61,0.63,1734100,228,29,368,625,0,0
34,VIVR3,2022-07-25,0.63,0.64,0.61,0.62,2247800,284,18,175,477,0,0
35,VIVR3,2022-07-26,0.61,0.62,0.59,0.6,1955600,152,52,316,520,0,0
36,VIVR3,2022-07-27,0.6,0.61,0.58,0.6,2232900,497,2,261,760,0,0
37,VIVR3,2022-07-28,0.6,0.62,0.59,0.61,1577200,465,0,186,651,0,0
38,VIVR3,2022-07-29,0.61,0.62,0.59,0.6,2998900,609,20,259,888,0,0
39,VIVR3,2022-08-01,0.6,0.61,0.59,0.6,1881800,299,0,318,617,0,0
40,VIVR3,2022-08-02,0.6,0.61,0.59,0.6,1989600,257,0,414,671,0,0
41,VIVR3,2022-08-03,0.6,0.64,0.59,0.63,4804900,791,22,579,1392,0,0
42,VIVR3,2022-08-08,0.66,0.78,0.65,0.67,18951800,1751,107,7825,9683,0,0
43,VIVR3,2022-08-09,0.67,0.67,0.62,0.64,5316000,523,46,1732,2301,0,0
44,VIVR3,2022-08-10,0.66,0.68,0.64,0.66,4411500,1561,83,429,2073,0,0
45,VIVR3,2022-08-12,0.65,0.65,0.63,0.65,3283300,965,0,502,1467,0,0
46,VIVR3,2022-08-15,0.64,0.7,0.63,0.69,8660200,1451,0,540,1991,0,0
47,VIVR3,2022-08-16,0.69,0.71,0.66,0.67,3981100,718,0,656,1374,0,0
48,VIVR3,2022-08-17,0.67,0.68,0.63,0.66,3882600,747,0,511,1258,0,0
49,VIVR3,2022-08-18,0.65,0.66,0.63,0.63,3639500,295,27,695,1017,0,0
50,VIVR3,2022-08-19,0.63,0.63,0.6,0.62,5122800,372,3,877,1252,0,0
51,VIVR3,2022-08-22,0.61,0.61,0.59,0.61,4559100,341,21,598,960,0,0
52,VIVR3,2022-08-23,0.61,0.62,0.6,0.61,2950100,451,0,241,692,0,0
53,VIVR3,2022-08-24,0.61,0.64,0.61,0.62,2654000,372,0,388,760,0,0
54,VIVR3,2022-08-25,0.63,0.64,0.62,0.63,1504900,258,0,283,541,0,0
55,VIVR3,2022-08-26,0.63,0.64,0.61,0.62,1123400,299,0,413,712,0,0
56,VIVR3,2022-08-29,0.62,0.63,0.61,0.61,2057200,435,0,704,1139,0,0
57,VIVR3,2022-08-30,0.6,0.62,0.58,0.58,2402700,405,0,763,1168,0,0
58,VIVR3,2022-08-31,0.6,0.6,0.58,0.59,1930100,289,10,369,668,0,0
59,VIVR3,2022-09-01,0.58,0.6,0.57,0.6,2488900,601,23,1688,2312,0,0
60,VIVR3,2022-09-02,0.6,0.61,0.57,0.58,5851500,390,168,982,1540,0,0
61,VIVR3,2022-09-05,0.58,0.59,0.57,0.58,1734700,226,0,236,462,0,0
62,VIVR3,2022-09-06,0.58,0.59,0.56,0.57,2642200,209,0,242,451,0,0
63,VIVR3,2022-09-08,0.58,0.59,0.56,0.58,2470200,159,0,278,437,0,0
64,VIVR3,2022-09-09,0.57,0.59,0.57,0.58,1852200,143,11,320,474,0,0
65,VIVR3,2022-09-12,0.58,0.6,0.58,0.59,2161600,186,19,542,747,0,0
66,VIVR3,2022-09-13,0.58,0.59,0.56,0.58,3104600,185,0,462,647,0,0
67,VIVR3,2022-09-15,0.57,0.61,0.57,0.57,6782800,656,0,286,942,0,0
68,VIVR3,2022-09-16,0.58,0.58,0.55,0.55,4406800,199,17,1886,2102,0,0
69,VIVR3,2022-09-19,0.56,0.57,0.55,0.56,2078100,260,16,177,453,0,0
70,VIVR3,2022-09-20,0.56,0.57,0.55,0.56,1536900,127,0,207,334,0,0
71,VIVR3,2022-09-21,0.56,0.56,0.54,0.56,2400900,255,0,266,521,0,0
72,VIVR3,2022-09-22,0.56,0.57,0.54,0.56,2111700,283,0,144,427,0,0
73,VIVR3,2022-09-23,0.56,0.57,0.54,0.57,2779500,236,0,153,389,0,0
74,VIVR3,2022-09-27,0.55,0.55,0.51,0.52,1493500,131,16,281,428,0,0
75,VIVR3,2022-09-28,0.52,0.52,0.5,0.52,1547500,188,13,254,455,0,0
76,VIVR3,2022-09-29,0.5,0.51,0.48,0.5,2175100,191,0,249,440,0,0
77,VIVR3,2022-09-30,0.5,0.52,0.5,0.51,3315000,255,0,332,587,0,0
78,VIVR3,2022-10-03,0.51,0.53,0.5,0.51,2788100,209,9,345,563,0,0
79,VIVR3,2022-10-04,0.51,0.53,0.5,0.52,4382800,303,0,660,963,0,0
80,VIVR3,2022-10-05,0.51,0.52,0.5,0.5,2217600,167,0,510,677,0,0
81,VIVR3,2022-10-06,0.51,0.52,0.5,0.5,2058900,151,9,977,1137,0,0
82,VIVR3,2022-10-07,0.51,0.51,0.49,0.5,723200,88,0,432,520,0,0
