,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,VIVT3,2022-06-06,50.37,50.64,48.69,48.93,1011700,2375,104,3123,5601,1,0
1,VIVT3,2022-06-07,48.26,48.89,47.74,48.15,1473900,3679,151,4254,8083,1,0
2,VIVT3,2022-06-08,47.57,47.86,46.74,47.82,2003300,4820,219,5907,10945,1,0
3,VIVT3,2022-06-09,47.7,47.7,46.68,47.07,2120200,7120,175,4671,11966,0,0
4,VIVT3,2022-06-10,46.74,47.28,46.27,46.67,2199100,8402,115,5412,13929,0,0
5,VIVT3,2022-06-13,46.53,46.9,45.88,46.3,1972500,6031,169,4325,10524,1,0
6,VIVT3,2022-06-14,46.38,46.56,45.86,46.43,1806300,5216,139,3513,8867,1,0
7,VIVT3,2022-06-15,46.56,47.16,46.55,47.08,2050700,5356,279,5102,10633,104,0
8,VIVT3,2022-06-17,46.4,46.83,45.31,45.45,3731800,4318,368,4345,8936,95,0
9,VIVT3,2022-06-20,45.66,45.99,45.28,45.63,918300,2236,183,2757,5106,70,0
10,VIVT3,2022-06-21,45.7,47.64,45.52,47.55,3293600,7415,216,5385,12952,64,0
11,VIVT3,2022-06-22,47.34,47.44,46.51,46.9,1575600,3955,191,4355,8499,2,0
12,VIVT3,2022-06-23,47.06,47.95,46.78,46.78,1678600,3122,180,4485,7749,38,0
13,VIVT3,2022-06-24,47.02,47.09,46.49,46.56,1164900,3228,196,2299,5692,31,0
14,VIVT3,2022-06-27,46.7,47.2,46.57,46.98,1065700,3337,137,2054,5528,0,0
15,VIVT3,2022-06-28,47.04,47.1,46.19,46.54,1355800,3772,195,4037,7986,18,0
16,VIVT3,2022-06-29,46.54,46.74,45.29,45.6,2122600,4375,213,5548,10084,52,0
17,VIVT3,2022-06-30,45.3,47.54,45.25,46.8,4054100,7542,203,9564,17309,0,0
18,VIVT3,2022-07-01,47.26,47.99,46.5,47.86,2407800,5682,329,6198,12208,1,0
19,VIVT3,2022-07-04,47.5,47.55,46.16,46.48,829500,1950,117,2263,4330,0,0
20,VIVT3,2022-07-05,46.47,47.04,46.04,46.47,1299200,3989,157,3328,7474,0,0
21,VIVT3,2022-07-06,45.99,47.54,45.77,47.41,1393200,3162,136,3583,6879,2,0
22,VIVT3,2022-07-07,47.3,47.77,46.46,47.77,1675700,3400,192,4100,7692,0,0
23,VIVT3,2022-07-08,47.42,48.26,47.11,47.48,1129200,4003,151,2557,6711,0,0
24,VIVT3,2022-07-11,47.36,48.21,46.97,47.76,1818400,3981,137,4029,8140,7,0
25,VIVT3,2022-07-12,48.33,48.38,47.37,47.85,1615600,2823,168,3568,6558,1,0
26,VIVT3,2022-07-13,47.51,47.81,47.09,47.09,1610000,2506,136,4857,7499,0,0
27,VIVT3,2022-07-14,46.66,47.63,46.65,47.2,1597100,3145,147,3496,6787,1,0
28,VIVT3,2022-07-15,47.45,47.69,46.84,46.85,1122300,3428,114,3016,6558,0,0
29,VIVT3,2022-07-18,47.17,47.5,46.76,46.77,1119900,2313,112,3145,5570,0,0
30,VIVT3,2022-07-19,47.06,47.77,46.71,47.7,1418400,2936,101,3699,6736,0,0
31,VIVT3,2022-07-20,47.16,48.2,46.65,46.92,1788600,3570,154,4157,7881,0,0
32,VIVT3,2022-07-21,47.08,47.15,46.11,46.99,1295100,3116,136,3621,6870,3,0
33,VIVT3,2022-07-22,46.99,47.28,46.34,46.92,1353400,3224,100,4154,7478,0,0
34,VIVT3,2022-07-25,46.96,47.26,46.28,46.3,911100,2352,127,2916,5395,0,0
35,VIVT3,2022-07-26,46.51,46.77,46.23,46.4,1167200,2388,108,3673,6169,0,0
36,VIVT3,2022-07-27,46.15,46.18,44.51,44.85,3286600,5999,207,5687,11890,3,0
37,VIVT3,2022-07-28,44.71,45.2,44.42,44.85,2819200,4798,191,5453,10433,9,0
38,VIVT3,2022-07-29,44.88,45.05,44.5,44.5,2762000,5918,184,6039,12141,0,0
39,VIVT3,2022-08-01,44.2,44.9,43.88,44.36,3699900,6820,168,5390,12374,4,0
40,VIVT3,2022-08-02,44.25,44.76,44.02,44.54,2223100,4386,150,4266,8800,2,0
41,VIVT3,2022-08-03,44.4,44.77,44.1,44.7,2830800,7344,143,4423,11909,1,0
42,VIVT3,2022-08-08,45.68,45.94,45.22,45.86,2946200,5872,119,4703,10693,1,0
43,VIVT3,2022-08-09,45.74,46.8,45.59,46.68,2428300,6213,138,4469,10815,5,0
44,VIVT3,2022-08-10,46.7,46.7,46.09,46.35,3125500,7684,148,3702,11529,5,0
45,VIVT3,2022-08-12,46.1,46.55,45.73,46.03,2686700,7492,235,4956,12626,57,0
46,VIVT3,2022-08-15,46.14,46.21,45.0,45.2,1751000,4292,149,4952,9393,0,0
47,VIVT3,2022-08-16,45.21,45.32,44.83,45.09,1866600,3333,133,3427,6892,1,0
48,VIVT3,2022-08-17,45.05,45.88,45.05,45.48,2932800,7714,124,3824,11659,3,0
49,VIVT3,2022-08-18,45.47,45.47,44.39,44.82,2325400,5263,139,5086,10457,31,0
50,VIVT3,2022-08-19,44.85,44.85,44.1,44.2,2199000,4689,692,4728,9550,559,0
51,VIVT3,2022-08-22,44.41,45.04,44.12,44.54,1954900,3411,159,3641,7209,2,0
52,VIVT3,2022-08-23,44.49,44.49,43.75,44.34,2022200,4904,137,3900,8940,1,0
53,VIVT3,2022-08-24,44.06,44.41,43.4,43.63,1945200,6198,174,3660,10032,0,0
54,VIVT3,2022-08-25,43.61,43.72,42.8,43.01,2214200,7008,110,4249,11367,0,0
55,VIVT3,2022-08-26,43.02,43.06,42.2,42.25,1701500,4199,113,4868,9180,0,0
56,VIVT3,2022-08-29,42.24,42.61,41.85,42.39,2380200,4402,142,3997,8540,1,0
57,VIVT3,2022-08-30,42.62,42.97,42.19,42.27,2136800,4148,106,3923,8175,2,0
58,VIVT3,2022-08-31,42.4,42.64,41.1,41.1,6119000,5084,522,6397,12002,1,0
59,VIVT3,2022-09-01,41.1,41.52,40.9,41.48,2969200,9051,211,6373,15635,0,0
60,VIVT3,2022-09-02,41.49,42.13,41.3,41.55,3161800,7825,211,6846,14882,0,0
61,VIVT3,2022-09-05,42.0,42.56,41.73,42.16,1155200,2807,162,3054,6023,0,0
62,VIVT3,2022-09-06,41.9,42.17,41.53,41.96,2450300,5363,153,6517,12033,0,0
63,VIVT3,2022-09-08,42.1,42.39,41.74,42.19,2814100,6932,227,8673,15832,0,0
64,VIVT3,2022-09-09,42.38,43.14,42.21,42.7,2042800,5811,112,7908,13831,0,0
65,VIVT3,2022-09-12,43.14,43.14,42.33,42.5,1876800,5657,185,4336,10164,14,0
66,VIVT3,2022-09-13,42.41,42.59,41.3,41.46,1672800,4574,161,4487,9222,0,0
67,VIVT3,2022-09-15,41.41,41.69,41.15,41.33,1587100,3184,140,3636,6959,1,0
68,VIVT3,2022-09-16,41.3,41.41,40.61,40.81,7937700,10046,265,8086,18396,1,0
69,VIVT3,2022-09-19,40.6,41.62,40.42,41.29,2433700,4909,145,5065,10119,0,0
70,VIVT3,2022-09-20,40.99,41.28,40.67,41.24,2532700,5588,151,5191,10929,1,0
71,VIVT3,2022-09-21,41.05,41.3,40.82,41.0,2989600,4692,168,7424,12282,2,0
72,VIVT3,2022-09-22,41.52,42.4,41.11,42.35,3135200,8081,171,8513,16765,0,0
73,VIVT3,2022-09-23,41.91,42.29,41.68,41.91,3690200,7071,109,8132,15310,2,0
74,VIVT3,2022-09-27,41.21,41.21,40.45,40.72,2304500,4243,152,4374,8767,2,0
75,VIVT3,2022-09-28,40.65,41.04,40.37,40.89,2486100,4403,132,5440,9973,2,0
76,VIVT3,2022-09-29,40.65,40.66,39.97,40.34,3091900,6194,178,7562,13930,4,0
77,VIVT3,2022-09-30,40.35,40.7,40.02,40.57,4288800,3568,185,5620,9372,1,0
78,VIVT3,2022-10-03,40.74,42.6,40.65,42.5,4863800,8913,162,9501,18570,6,0
79,VIVT3,2022-10-04,42.5,42.68,40.96,41.16,2912200,4901,176,5526,10601,2,0
80,VIVT3,2022-10-05,41.12,41.25,40.09,40.26,3309000,4689,240,5174,10103,0,0
81,VIVT3,2022-10-06,40.17,40.39,39.56,39.67,3765000,8845,334,4774,13939,14,0
82,VIVT3,2022-10-07,39.78,40.22,39.64,40.16,2939900,5006,169,4906,10078,3,0
83,VIVT3,2022-10-10,40.2,40.32,39.88,40.2,3718300,5974,139,3956,10068,1,0
84,VIVT3,2022-10-11,40.21,40.7,39.76,39.86,3006400,7221,129,6394,13742,2,0
85,VIVT3,2022-10-13,39.99,40.11,39.42,39.7,3569000,8931,166,7397,16491,3,0
86,VIVT3,2022-10-14,39.9,40.21,39.27,39.3,2304000,3936,150,5338,9423,1,0
87,VIVT3,2022-10-17,39.75,39.75,39.16,39.39,1624000,3723,165,3325,7213,0,0
88,VIVT3,2022-10-18,39.37,39.68,39.03,39.4,2520900,6274,138,4684,11096,0,0
89,VIVT3,2022-10-19,39.39,40.86,39.39,40.81,6981000,13828,272,16834,30906,28,0
90,VIVT3,2022-10-20,41.0,41.21,39.97,40.28,3617800,7163,165,7075,14401,2,0
91,VIVT3,2022-10-21,40.2,40.28,39.58,39.91,1905400,6836,164,4049,11038,11,0
92,VIVT3,2022-10-24,39.92,40.4,39.6,39.85,2585800,4027,151,5375,9550,3,0
93,VIVT3,2022-10-25,39.78,39.96,39.47,39.52,2408400,5346,136,5494,10975,1,0
94,VIVT3,2022-10-26,39.82,40.72,39.66,40.17,4844200,12083,157,12180,24419,1,0
95,VIVT3,2022-10-27,39.94,41.1,39.83,40.75,5133500,6254,194,6144,12591,1,0
96,VIVT3,2022-10-28,40.77,41.44,40.57,40.86,3228700,5327,141,5228,10694,2,0
97,VIVT3,2022-10-31,41.09,41.46,40.69,41.4,4404700,7487,234,6766,14481,6,0
98,VIVT3,2022-11-01,41.2,41.3,40.42,40.45,2659900,8238,139,6070,14446,1,0
99,VIVT3,2022-11-03,40.39,41.79,39.83,41.7,3957600,7610,143,10686,18436,3,0
100,VIVT3,2022-11-04,42.13,42.13,40.9,41.07,2914500,9166,194,6301,15659,2,0
101,VIVT3,2022-11-07,40.7,41.27,40.35,40.78,2908400,6084,200,5259,11542,1,0
102,VIVT3,2022-11-08,40.85,41.3,40.33,41.1,3454700,9401,138,6655,16193,1,0
103,VIVT3,2022-11-09,41.07,41.35,41.01,41.05,1951600,6516,123,5632,12271,0,0
104,VIVT3,2022-11-10,40.48,40.87,40.02,40.38,3247700,8838,150,10028,19016,0,0
105,VIVT3,2022-11-14,41.47,41.77,40.36,40.44,2420800,6692,144,4843,11679,0,0
106,VIVT3,2022-11-17,39.05,39.18,38.2,38.81,2650600,6665,152,6155,12969,3,0
107,VIVT3,2022-11-18,39.13,40.07,38.45,38.86,2596100,5548,145,7568,13261,0,0
108,VIVT3,2022-11-21,39.82,40.01,38.76,38.96,3721500,7253,212,7560,15024,1,0
109,VIVT3,2022-11-22,39.0,39.2,38.2,38.79,3469500,5594,194,5571,11358,1,0
110,VIVT3,2022-11-23,38.68,39.12,38.41,38.99,1757200,3326,139,5031,8495,1,0
111,VIVT3,2022-11-24,39.08,39.67,38.94,39.49,1256100,4234,93,3099,7424,2,0
112,VIVT3,2022-11-25,39.33,39.46,38.68,38.73,2100800,4280,157,4058,8494,1,0
113,VIVT3,2022-11-28,38.76,39.05,38.31,38.47,2390200,4925,108,7641,12674,0,0
114,VIVT3,2022-11-29,38.58,39.06,38.3,38.44,2394300,5866,125,7765,13756,0,0
115,VIVT3,2022-11-30,38.44,38.52,37.76,38.05,6034800,5896,266,8148,14310,0,0
116,VIVT3,2022-12-01,38.0,38.64,37.7,38.56,3767000,7415,120,7365,14899,1,0
117,VIVT3,2022-12-02,38.58,39.66,38.36,39.48,3076200,7475,109,6767,14351,0,0
118,VIVT3,2022-12-05,39.05,39.29,38.4,38.52,2729100,4947,144,7188,12278,1,0
119,VIVT3,2022-12-06,38.66,38.92,38.09,38.47,2081800,3562,142,4749,8452,1,0
120,VIVT3,2022-12-07,38.61,38.75,38.15,38.37,1631000,3361,128,4285,7774,0,0
121,VIVT3,2022-12-08,38.22,38.39,37.0,37.13,3608500,4463,124,5596,10182,1,0
122,VIVT3,2022-12-09,37.12,37.89,36.82,37.6,2095000,6257,100,5176,11533,0,0
123,VIVT3,2022-12-12,37.81,37.81,37.08,37.51,2196300,5289,131,5137,10556,1,0
124,VIVT3,2022-12-13,37.6,38.01,37.03,37.18,3011700,5279,112,7234,12624,1,0
125,VIVT3,2022-12-14,37.0,37.78,36.4,37.38,3651800,7013,145,10550,17702,6,0
126,VIVT3,2022-12-15,37.14,38.04,36.95,37.16,1437800,3922,88,4032,8042,0,0
127,VIVT3,2022-12-16,37.17,37.46,36.48,36.6,3458400,3660,179,4261,8100,0,0
128,VIVT3,2022-12-19,37.01,37.68,36.69,36.87,2147600,5784,139,5712,11635,0,0
129,VIVT3,2022-12-20,36.8,37.99,36.71,37.75,1984500,5746,135,5229,11109,1,0
