,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,VLID3,2022-06-06,10.99,10.99,10.33,10.47,373900,1038,48,1575,2661,0,0
1,VLID3,2022-06-07,10.49,10.54,10.24,10.24,156300,456,33,701,1190,0,0
2,VLID3,2022-06-08,10.15,10.38,9.89,10.15,156900,560,19,464,1043,0,0
3,VLID3,2022-06-09,10.09,10.27,10.02,10.26,154400,391,50,296,737,0,0
4,VLID3,2022-06-10,10.17,10.17,9.45,9.88,471500,802,78,780,1660,0,0
5,VLID3,2022-06-13,9.53,9.57,9.22,9.42,327700,1019,29,900,1948,0,0
6,VLID3,2022-06-14,9.42,9.53,9.19,9.31,222700,538,38,616,1192,0,0
7,VLID3,2022-06-15,9.28,9.72,9.28,9.72,259800,699,67,462,1228,0,0
8,VLID3,2022-06-17,9.53,9.6,9.23,9.33,245700,897,56,603,1556,0,0
9,VLID3,2022-06-20,9.45,9.68,9.35,9.4,207700,385,54,436,875,0,0
10,VLID3,2022-06-21,9.51,9.6,9.32,9.5,236800,694,37,756,1487,0,0
11,VLID3,2022-06-22,9.5,9.7,9.34,9.56,547700,935,48,1019,2002,0,0
12,VLID3,2022-06-23,9.43,9.95,9.43,9.87,413300,860,28,1328,2216,0,0
13,VLID3,2022-06-24,9.73,10.06,9.63,9.9,229100,547,42,561,1150,0,0
14,VLID3,2022-06-27,10.0,10.12,9.83,9.83,416200,898,30,754,1682,0,0
15,VLID3,2022-06-28,9.88,10.1,9.7,9.99,230000,361,50,601,1012,0,0
16,VLID3,2022-06-29,9.96,9.96,9.49,9.8,223800,383,58,568,1009,0,0
17,VLID3,2022-06-30,9.72,9.72,9.29,9.33,374200,725,46,824,1595,0,0
18,VLID3,2022-07-01,9.36,9.62,9.23,9.37,416300,1090,19,1221,2330,0,0
19,VLID3,2022-07-04,9.36,9.76,9.28,9.3,313100,613,60,745,1418,0,0
20,VLID3,2022-07-05,9.32,9.51,9.05,9.51,250100,589,37,629,1255,0,0
21,VLID3,2022-07-06,9.58,9.82,9.25,9.76,449500,1385,42,1024,2451,0,0
22,VLID3,2022-07-07,9.86,10.52,9.85,10.41,414700,1033,28,1198,2259,0,0
23,VLID3,2022-07-08,10.36,10.79,10.27,10.6,387400,1046,74,1255,2375,0,0
24,VLID3,2022-07-11,10.44,10.89,10.29,10.61,306200,862,49,1349,2260,0,0
25,VLID3,2022-07-12,10.56,11.0,10.46,10.87,307000,666,39,602,1307,0,0
26,VLID3,2022-07-13,11.0,11.0,10.5,10.58,331000,525,38,605,1168,0,0
27,VLID3,2022-07-14,10.66,10.7,10.15,10.41,163400,339,49,485,873,0,0
28,VLID3,2022-07-15,10.52,10.52,10.15,10.27,123200,392,44,498,934,0,0
29,VLID3,2022-07-18,10.27,10.4,10.04,10.04,281400,568,25,720,1313,0,0
30,VLID3,2022-07-19,10.27,10.29,9.97,10.16,182600,553,20,459,1032,0,0
31,VLID3,2022-07-20,10.24,10.32,9.81,9.95,178400,578,26,481,1085,0,0
32,VLID3,2022-07-21,9.85,10.04,9.74,9.91,191500,509,27,447,983,0,0
33,VLID3,2022-07-22,10.04,10.23,9.91,9.98,172200,460,17,450,927,0,0
34,VLID3,2022-07-25,9.98,10.6,9.91,10.58,267800,534,34,552,1120,0,0
35,VLID3,2022-07-26,10.54,10.54,10.08,10.12,216600,577,34,569,1180,0,0
36,VLID3,2022-07-27,10.25,10.62,10.21,10.45,186800,610,36,480,1126,0,0
37,VLID3,2022-07-28,10.44,10.8,10.44,10.63,110100,434,21,351,806,0,0
38,VLID3,2022-07-29,10.64,10.79,10.51,10.54,92600,368,16,344,728,0,0
39,VLID3,2022-08-01,10.55,10.8,10.3,10.3,289500,686,19,980,1685,0,0
40,VLID3,2022-08-02,10.36,10.58,10.08,10.35,294400,713,26,944,1683,0,0
41,VLID3,2022-08-03,10.54,10.62,10.28,10.3,173700,385,34,594,1013,0,0
42,VLID3,2022-08-08,11.05,11.21,10.6,10.75,224900,581,30,624,1235,0,0
43,VLID3,2022-08-09,10.99,10.99,10.41,10.72,206900,593,26,773,1392,0,0
