,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,VULC3,2022-06-06,12.02,12.09,11.38,11.55,389800,1162,69,923,2154,0,0
1,VULC3,2022-06-07,11.48,11.48,10.9,11.05,546700,935,54,1384,2373,0,0
2,VULC3,2022-06-08,11.07,11.25,10.8,10.87,349000,520,52,602,1174,0,0
3,VULC3,2022-06-09,10.79,11.07,10.73,11.05,258300,609,44,603,1256,0,0
4,VULC3,2022-06-10,10.97,10.97,10.68,10.75,305500,822,42,999,1863,0,0
5,VULC3,2022-06-13,10.52,10.7,10.33,10.67,610900,1348,47,1276,2671,0,0
6,VULC3,2022-06-14,10.61,10.85,10.45,10.52,292800,956,30,629,1615,0,0
7,VULC3,2022-06-15,10.85,10.85,10.48,10.68,279700,1197,33,592,1822,0,0
8,VULC3,2022-06-17,10.61,10.68,10.23,10.58,428500,1054,289,690,1772,261,0
9,VULC3,2022-06-20,10.68,10.72,10.25,10.44,189900,497,23,399,919,0,0
10,VULC3,2022-06-21,10.46,10.7,10.29,10.68,293200,957,235,709,1699,202,0
11,VULC3,2022-06-22,10.5,10.99,10.44,10.7,638300,1565,44,1072,2681,0,0
12,VULC3,2022-06-23,10.8,11.13,10.69,10.97,525900,1498,45,971,2514,0,0
13,VULC3,2022-06-24,11.1,11.18,10.78,10.9,221000,457,183,647,1143,144,0
14,VULC3,2022-06-27,10.81,10.95,10.7,10.9,265500,667,101,672,1363,77,0
15,VULC3,2022-06-28,10.87,10.97,10.5,10.62,206700,422,94,833,1298,51,0
16,VULC3,2022-06-29,10.75,10.75,10.35,10.35,186300,347,120,712,1086,93,0
17,VULC3,2022-06-30,10.04,10.38,9.94,10.22,483100,703,82,795,1551,29,0
18,VULC3,2022-07-01,10.13,10.39,9.84,10.39,502900,1124,66,1285,2475,0,0
19,VULC3,2022-07-04,10.37,10.59,10.15,10.45,330000,1068,61,648,1777,0,0
20,VULC3,2022-07-05,10.37,10.53,10.16,10.29,472200,1254,107,845,2206,0,0
21,VULC3,2022-07-06,10.31,10.62,10.29,10.5,298000,864,30,899,1793,0,0
22,VULC3,2022-07-07,10.52,10.74,10.45,10.5,241900,791,28,897,1716,0,0
23,VULC3,2022-07-08,10.5,10.64,10.3,10.42,198400,661,26,523,1210,0,0
24,VULC3,2022-07-11,10.4,10.51,10.24,10.47,234600,713,58,548,1319,0,0
25,VULC3,2022-07-12,10.4,10.7,10.3,10.59,594000,1079,65,951,2094,1,0
26,VULC3,2022-07-13,10.64,10.85,10.52,10.7,390100,1573,28,1235,2836,0,0
27,VULC3,2022-07-14,10.66,10.67,10.35,10.35,205000,603,40,582,1225,0,0
28,VULC3,2022-07-15,10.43,10.62,10.12,10.52,268700,924,45,1162,2131,0,0
29,VULC3,2022-07-18,10.48,10.6,10.32,10.4,428300,1043,28,2364,3435,0,0
30,VULC3,2022-07-19,10.46,10.48,9.99,10.16,571900,1976,45,1907,3928,0,0
31,VULC3,2022-07-20,10.07,10.77,10.07,10.67,365700,1163,44,1117,2324,0,0
32,VULC3,2022-07-21,10.66,11.09,10.58,10.83,336200,898,31,1243,2172,0,0
33,VULC3,2022-07-22,10.79,10.87,10.64,10.81,121900,344,32,466,842,0,0
34,VULC3,2022-07-25,10.86,11.14,10.77,10.92,312600,1038,22,841,1901,0,0
35,VULC3,2022-07-26,10.9,10.97,10.63,10.8,211000,524,26,650,1200,0,0
36,VULC3,2022-07-27,10.98,11.11,10.79,11.02,222200,845,27,731,1603,0,0
37,VULC3,2022-07-28,11.11,11.26,10.75,11.0,613700,1529,34,2413,3976,0,0
38,VULC3,2022-07-29,11.28,11.88,11.22,11.4,1210200,2606,112,3003,5721,0,0
39,VULC3,2022-08-01,11.43,11.83,11.39,11.65,592400,1633,50,2298,3981,0,0
40,VULC3,2022-08-02,11.8,12.18,11.73,12.08,547500,1198,58,1430,2686,0,0
41,VULC3,2022-08-03,12.06,12.4,11.93,12.34,454000,923,41,1496,2460,0,0
42,VULC3,2022-08-08,12.89,13.33,12.82,13.15,686700,2161,56,2003,4220,0,0
43,VULC3,2022-08-09,13.32,13.32,12.98,13.18,212700,539,54,791,1384,0,0
