,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,VVEO3,2022-06-06,15.71,15.71,14.83,14.83,93200,208,31,352,591,0,0
1,VVEO3,2022-06-07,13.97,14.88,13.97,14.65,205900,464,19,890,1373,0,0
2,VVEO3,2022-06-08,14.1,14.86,14.1,14.6,84100,278,12,390,680,0,0
3,VVEO3,2022-06-09,14.82,15.04,14.34,14.49,125500,330,27,406,763,0,0
4,VVEO3,2022-06-10,14.59,14.72,13.61,13.96,197900,433,19,754,1206,0,0
5,VVEO3,2022-06-13,13.85,13.94,13.18,13.18,1056700,400,16,728,1143,1,0
6,VVEO3,2022-06-14,13.45,13.52,13.02,13.21,114800,348,13,308,669,0,0
7,VVEO3,2022-06-15,13.37,14.12,13.15,14.05,194900,572,23,421,1016,0,0
8,VVEO3,2022-06-17,14.39,14.39,13.51,13.59,129900,336,39,293,668,0,0
9,VVEO3,2022-06-20,13.2,13.94,13.02,13.02,145200,320,47,376,743,0,0
10,VVEO3,2022-06-21,13.03,13.83,13.03,13.5,139600,274,17,472,763,0,0
11,VVEO3,2022-06-22,13.35,13.99,13.35,13.68,81800,247,15,297,559,0,0
12,VVEO3,2022-06-23,14.18,14.21,13.8,13.81,101300,363,25,359,747,0,0
13,VVEO3,2022-06-24,13.97,14.21,13.27,13.49,119300,290,19,572,881,0,0
14,VVEO3,2022-06-27,14.0,14.1,13.44,13.47,176200,380,24,634,1038,0,0
15,VVEO3,2022-06-28,13.45,14.17,13.07,13.95,254600,418,19,546,983,0,0
16,VVEO3,2022-06-29,14.0,14.3,13.82,14.0,91600,315,25,312,652,0,0
17,VVEO3,2022-06-30,14.21,14.6,13.51,13.66,264100,707,25,663,1394,1,0
18,VVEO3,2022-07-01,13.6,13.96,13.5,13.6,127600,304,29,376,709,0,0
19,VVEO3,2022-07-04,14.1,14.1,13.42,13.44,136100,257,20,308,585,0,0
20,VVEO3,2022-07-05,13.81,14.29,13.3,14.1,226800,961,22,565,1548,0,0
21,VVEO3,2022-07-06,14.48,14.54,13.98,14.2,133800,376,20,475,871,0,0
22,VVEO3,2022-07-07,14.55,14.71,14.13,14.46,104200,282,29,320,631,0,0
23,VVEO3,2022-07-08,14.55,15.36,14.41,15.0,231200,655,25,596,1276,0,0
24,VVEO3,2022-07-11,14.79,14.8,14.35,14.57,150200,381,27,524,932,0,0
25,VVEO3,2022-07-12,14.68,15.44,14.34,15.29,201800,542,34,613,1189,0,0
26,VVEO3,2022-07-13,15.61,15.72,14.95,15.39,98800,321,25,305,651,0,0
27,VVEO3,2022-07-14,15.7,15.7,15.0,15.33,105100,304,33,337,674,0,0
28,VVEO3,2022-07-15,15.71,15.75,14.9,15.42,215500,554,25,722,1301,0,0
29,VVEO3,2022-07-18,15.8,15.8,15.13,15.35,136300,247,39,367,653,0,0
30,VVEO3,2022-07-19,15.49,15.49,14.96,15.0,203800,251,25,306,582,0,0
31,VVEO3,2022-07-20,15.0,15.61,14.76,15.61,164400,294,35,294,623,0,0
32,VVEO3,2022-07-21,15.01,15.85,15.01,15.67,71400,228,21,259,508,0,0
33,VVEO3,2022-07-22,16.07,16.24,15.58,15.95,140000,464,22,377,859,4,0
34,VVEO3,2022-07-25,16.13,16.81,15.95,16.69,307700,384,21,415,817,3,0
