,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,WEGE3,2022-06-06,26.11,26.44,25.76,26.0,5582200,7429,116,14704,22249,0,0
1,WEGE3,2022-06-07,25.73,26.07,25.7,26.0,6091800,7150,166,11065,18381,0,0
2,WEGE3,2022-06-08,25.75,25.84,24.41,24.45,15193900,13720,466,13954,28136,4,0
3,WEGE3,2022-06-09,24.44,25.06,24.08,24.67,12419700,14004,293,13733,28030,0,0
4,WEGE3,2022-06-10,24.52,24.64,23.87,23.97,9086600,12193,291,10188,22670,2,0
5,WEGE3,2022-06-13,23.71,23.98,23.51,23.92,14000200,14141,381,12667,27184,5,0
6,WEGE3,2022-06-14,23.82,24.5,23.69,24.22,10158700,11858,261,11031,23144,6,0
7,WEGE3,2022-06-15,24.47,24.51,23.65,24.04,15840900,16513,323,13833,30658,11,0
8,WEGE3,2022-06-17,23.52,23.63,22.8,22.82,16863300,11524,539,10606,22668,1,0
9,WEGE3,2022-06-20,23.41,24.47,23.4,24.1,15968600,15787,980,13668,29640,795,0
10,WEGE3,2022-06-21,24.26,25.48,24.01,25.41,21113500,14702,282,14164,29127,21,0
11,WEGE3,2022-06-22,25.08,26.2,24.85,25.85,13461400,13202,320,11448,24963,7,0
12,WEGE3,2022-06-23,25.91,26.35,25.56,25.96,10303100,10488,281,9498,20263,4,0
13,WEGE3,2022-06-24,26.08,26.98,25.87,26.5,11421500,13563,253,10738,24545,9,0
14,WEGE3,2022-06-27,26.64,26.7,25.88,26.02,6158200,7946,243,6446,14634,1,0
15,WEGE3,2022-06-28,26.04,26.52,25.87,26.08,5828100,6324,250,7085,13658,1,0
16,WEGE3,2022-06-29,26.09,26.44,25.92,26.0,4724300,5673,172,7679,13524,0,0
17,WEGE3,2022-06-30,25.7,26.58,25.53,26.34,10803700,14323,317,11716,26355,1,0
18,WEGE3,2022-07-01,26.55,26.89,25.89,26.48,7334800,10898,257,10168,21322,1,0
