,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,WEST3,2022-06-06,2.71,2.8,2.6,2.65,384500,832,26,1021,1879,0,0
1,WEST3,2022-06-07,2.63,2.63,2.49,2.55,511200,1289,26,1254,2569,0,0
2,WEST3,2022-06-08,2.52,2.67,2.5,2.67,442200,1699,26,1102,2827,0,0
3,WEST3,2022-06-09,2.66,2.7,2.56,2.56,511700,1661,0,1199,2860,0,0
4,WEST3,2022-06-10,2.54,2.54,2.42,2.43,708700,1601,33,872,2506,0,0
5,WEST3,2022-06-13,2.39,2.46,2.17,2.24,2076200,2546,28,2342,4916,0,0
6,WEST3,2022-06-14,2.31,2.33,2.1,2.15,1193900,3059,27,3032,6114,4,0
7,WEST3,2022-06-15,2.19,2.25,2.11,2.14,938300,1566,31,1401,2998,0,0
8,WEST3,2022-06-17,2.09,2.16,2.08,2.11,576500,2489,19,1574,4082,0,0
9,WEST3,2022-06-20,2.11,2.13,2.02,2.05,538000,510,16,804,1330,0,0
10,WEST3,2022-06-21,2.09,2.13,2.04,2.08,555000,1437,46,1021,2474,30,0
11,WEST3,2022-06-22,2.07,2.09,2.03,2.05,493400,729,29,1067,1825,0,0
12,WEST3,2022-06-23,2.09,2.13,2.03,2.08,674800,1289,15,1194,2498,0,0
13,WEST3,2022-06-24,2.11,2.16,2.04,2.12,293900,747,10,382,1139,0,0
14,WEST3,2022-06-27,2.15,2.2,2.08,2.17,309500,1157,11,680,1848,0,0
15,WEST3,2022-06-28,2.2,2.21,2.07,2.11,300700,1050,13,470,1533,0,0
16,WEST3,2022-06-29,2.1,2.11,2.04,2.06,279000,1069,0,647,1716,0,0
17,WEST3,2022-06-30,2.05,2.08,1.98,2.07,512000,2015,21,1407,3442,1,0
18,WEST3,2022-07-01,2.07,2.1,1.99,2.06,472400,766,12,1005,1783,0,0
19,WEST3,2022-07-04,2.03,2.1,2.0,2.02,355000,351,12,181,544,0,0
