,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,WHRL3,2022-06-06,5.07,5.15,5.04,5.06,1900,4,0,3,7,0,0
1,WHRL3,2022-06-07,5.07,5.07,5.07,5.07,100,1,0,0,1,0,0
2,WHRL3,2022-06-08,5.1,5.1,4.93,5.0,4100,7,0,4,11,0,0
3,WHRL3,2022-06-09,5.13,5.13,5.07,5.13,300,3,0,0,3,0,0
4,WHRL3,2022-06-10,5.08,5.08,4.95,4.95,2200,4,0,6,10,0,0
5,WHRL3,2022-06-13,5.0,5.0,4.78,4.78,12000,9,0,38,47,0,0
6,WHRL3,2022-06-14,4.84,4.97,4.76,4.8,3500,11,1,15,27,0,0
7,WHRL3,2022-06-15,4.72,4.89,4.72,4.83,1500,6,0,6,12,0,0
8,WHRL3,2022-06-17,4.7,4.7,4.7,4.7,500,2,0,1,3,0,0
9,WHRL3,2022-06-20,4.71,4.71,4.71,4.71,100,0,0,1,1,0,0
10,WHRL3,2022-06-21,4.67,4.82,4.62,4.82,1000,1,0,9,10,0,0
11,WHRL3,2022-06-22,4.78,4.8,4.76,4.8,400,2,0,1,3,0,0
12,WHRL3,2022-06-23,4.64,4.73,4.64,4.73,1300,4,0,5,9,0,0
13,WHRL3,2022-06-24,4.68,4.74,4.6,4.6,1200,1,0,9,10,0,0
14,WHRL3,2022-06-27,4.6,4.71,4.59,4.59,5200,4,0,8,12,0,0
15,WHRL3,2022-06-28,4.79,4.79,4.73,4.76,1100,6,0,1,7,0,0
16,WHRL3,2022-06-29,4.75,4.76,4.75,4.75,300,2,0,0,2,0,0
17,WHRL3,2022-06-30,4.88,4.88,4.67,4.67,2200,3,0,3,6,0,0
18,WHRL3,2022-07-01,4.66,4.7,4.6,4.6,900,2,0,6,8,0,0
19,WHRL3,2022-07-04,4.69,4.69,4.68,4.68,1000,3,0,2,5,0,0
20,WHRL3,2022-07-05,4.55,4.55,4.52,4.52,1100,3,0,4,7,0,0
21,WHRL3,2022-07-06,4.53,4.55,4.5,4.55,5700,9,0,8,17,0,0
22,WHRL3,2022-07-07,4.65,4.65,4.65,4.65,500,3,0,0,3,0,0
23,WHRL3,2022-07-08,4.53,4.68,4.53,4.67,3200,12,0,8,20,0,0
24,WHRL3,2022-07-11,4.67,4.67,4.6,4.66,700,1,0,6,7,0,0
25,WHRL3,2022-07-12,4.65,4.65,4.6,4.61,1600,3,0,3,6,0,0
26,WHRL3,2022-07-13,4.66,4.67,4.66,4.66,700,4,0,0,4,0,0
27,WHRL3,2022-07-14,4.52,4.65,4.42,4.65,1500,2,0,6,8,0,0
28,WHRL3,2022-07-15,4.64,4.64,4.55,4.63,1500,5,0,4,9,0,0
29,WHRL3,2022-07-18,4.76,4.76,4.56,4.56,500,3,0,2,5,0,0
30,WHRL3,2022-07-19,4.58,4.76,4.58,4.74,1300,7,0,2,9,0,0
31,WHRL3,2022-07-20,4.6,4.7,4.6,4.68,300,0,0,3,3,0,0
32,WHRL3,2022-07-21,4.68,4.7,4.67,4.7,900,3,0,6,9,0,0
33,WHRL3,2022-07-22,4.68,4.68,4.62,4.66,1500,2,0,6,8,0,0
34,WHRL3,2022-07-25,4.66,4.72,4.66,4.72,600,2,0,1,3,0,0
35,WHRL3,2022-07-26,4.71,4.71,4.71,4.71,100,0,0,1,1,0,0
36,WHRL3,2022-07-27,4.71,4.74,4.7,4.74,300,2,0,1,3,0,0
37,WHRL3,2022-07-28,4.65,4.75,4.65,4.69,2200,7,1,4,12,0,0
38,WHRL3,2022-07-29,4.77,4.77,4.64,4.7,1500,2,0,6,8,0,0
39,WHRL3,2022-08-01,4.74,4.75,4.65,4.65,2200,4,0,8,12,0,0
40,WHRL3,2022-08-02,4.71,4.71,4.59,4.59,4800,6,0,12,18,0,0
41,WHRL3,2022-08-03,4.7,4.7,4.6,4.64,3600,12,0,3,15,0,0
42,WHRL3,2022-08-08,4.74,4.74,4.7,4.74,3200,4,0,3,7,0,0
43,WHRL3,2022-08-09,4.74,4.8,4.74,4.8,3000,8,0,3,11,0,0
44,WHRL3,2022-08-10,4.79,4.86,4.79,4.86,1500,6,0,0,6,0,0
45,WHRL3,2022-08-12,4.88,4.9,4.83,4.88,3600,8,0,8,16,0,0
46,WHRL3,2022-08-15,4.97,5.01,4.94,4.99,5000,19,0,0,19,0,0
47,WHRL3,2022-08-16,4.91,5.02,4.91,5.01,1300,7,0,4,11,0,0
48,WHRL3,2022-08-17,5.01,5.04,4.97,4.97,700,6,0,1,7,0,0
49,WHRL3,2022-08-18,5.05,5.1,5.05,5.1,1300,5,0,0,5,0,0
50,WHRL3,2022-08-19,5.05,5.05,5.05,5.05,100,1,0,0,1,0,0
51,WHRL3,2022-08-22,5.05,5.05,5.05,5.05,200,1,0,0,1,0,0
52,WHRL3,2022-08-23,5.0,5.18,5.0,5.1,1100,3,0,4,7,0,0
