,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,WIZS3,2022-06-06,8.77,8.78,8.41,8.46,1481200,1760,63,2212,4035,0,0
1,WIZS3,2022-06-07,8.44,8.68,8.41,8.59,1100000,1476,48,2054,3578,0,0
2,WIZS3,2022-06-08,8.59,8.66,8.41,8.42,876100,1180,38,1671,2889,0,0
3,WIZS3,2022-06-09,8.41,8.47,8.14,8.31,957100,1196,52,1360,2608,0,0
4,WIZS3,2022-06-10,8.16,8.25,8.0,8.0,876400,1210,65,1510,2785,0,0
5,WIZS3,2022-06-13,7.88,8.14,7.75,8.0,1376600,2149,95,1924,4168,0,0
6,WIZS3,2022-06-14,8.04,8.08,7.66,7.67,831600,1059,53,1332,2444,0,0
7,WIZS3,2022-06-15,7.91,8.01,7.74,7.81,915600,1357,44,1277,2678,0,0
8,WIZS3,2022-06-17,7.7,7.9,7.61,7.84,891900,1526,53,1385,2964,0,0
9,WIZS3,2022-06-20,7.82,8.04,7.64,7.81,983900,3284,36,1264,4584,0,0
10,WIZS3,2022-06-21,7.82,8.29,7.82,8.25,1501200,2136,65,1581,3782,0,0
11,WIZS3,2022-06-22,8.13,8.67,8.06,8.35,1575000,2549,50,2309,4908,0,0
12,WIZS3,2022-06-23,8.43,8.49,8.24,8.42,970100,1619,46,1351,3015,1,0
13,WIZS3,2022-06-24,8.49,8.6,8.15,8.26,657400,875,42,1190,2107,0,0
14,WIZS3,2022-06-27,8.23,8.35,8.07,8.14,985700,1415,40,2009,3464,0,0
15,WIZS3,2022-06-28,8.23,8.33,7.92,7.95,830000,1147,28,1568,2743,0,0
16,WIZS3,2022-06-29,8.0,8.01,7.75,7.87,891900,1632,33,1641,3306,0,0
17,WIZS3,2022-06-30,7.72,7.92,7.62,7.9,1600600,2462,47,1773,4282,0,0
18,WIZS3,2022-07-01,7.88,7.97,7.71,7.89,860000,1894,38,1570,3502,0,0
19,WIZS3,2022-07-04,7.9,7.98,7.63,7.66,569600,846,64,1123,2033,0,0
20,WIZS3,2022-07-05,7.64,7.64,7.36,7.55,1357500,2498,40,2377,4915,0,0
21,WIZS3,2022-07-06,7.52,7.79,7.36,7.46,978900,1846,52,1417,3315,0,0
22,WIZS3,2022-07-07,7.57,7.68,7.53,7.6,813100,1312,30,1082,2424,0,0
23,WIZS3,2022-07-08,7.6,7.71,7.4,7.45,698200,1117,39,1205,2361,0,0
24,WIZS3,2022-07-11,7.36,7.42,7.2,7.26,915900,1013,52,1255,2320,0,0
25,WIZS3,2022-07-12,7.25,7.44,7.16,7.39,865600,1370,49,1114,2533,0,0
26,WIZS3,2022-07-13,7.39,7.45,7.24,7.28,681400,1266,33,1181,2480,0,0
27,WIZS3,2022-07-14,7.2,7.27,7.16,7.21,668600,1216,47,1399,2662,0,0
28,WIZS3,2022-07-15,7.27,7.29,7.01,7.13,1480100,2302,45,2040,4387,0,0
29,WIZS3,2022-07-18,7.16,7.33,7.09,7.19,737700,1256,30,1427,2713,0,0
30,WIZS3,2022-07-19,7.21,7.27,7.13,7.26,586400,1621,33,1024,2678,0,0
31,WIZS3,2022-07-20,7.25,7.64,7.23,7.54,935900,1207,51,1204,2462,0,0
32,WIZS3,2022-07-21,7.54,7.64,7.47,7.59,479600,958,41,962,1961,0,0
33,WIZS3,2022-07-22,7.6,7.67,7.31,7.39,854500,1290,64,1514,2868,0,0
34,WIZS3,2022-07-25,7.39,7.53,7.26,7.46,847400,1524,39,1769,3332,0,0
35,WIZS3,2022-07-26,7.46,7.5,7.26,7.28,530300,903,33,1401,2337,0,0
36,WIZS3,2022-07-27,7.31,7.61,7.31,7.56,567200,967,38,948,1953,0,0
37,WIZS3,2022-07-28,7.58,7.74,7.44,7.51,551100,995,25,944,1964,0,0
38,WIZS3,2022-07-29,7.54,7.6,7.35,7.4,697700,1372,39,1817,3228,0,0
39,WIZS3,2022-08-01,7.42,7.55,7.31,7.37,732800,1330,31,1693,3054,0,0
40,WIZS3,2022-08-02,7.37,7.53,7.36,7.48,619700,1147,49,1483,2679,0,0
41,WIZS3,2022-08-03,7.47,7.78,7.46,7.73,742400,1229,35,1305,2569,0,0
42,WIZS3,2022-08-08,8.25,8.5,8.21,8.4,892700,1585,44,2014,3643,0,0
43,WIZS3,2022-08-09,8.45,8.55,8.22,8.33,725100,1321,41,1858,3219,1,0
44,WIZS3,2022-08-10,8.46,8.51,8.3,8.46,862600,1848,44,2174,4066,0,0
45,WIZS3,2022-08-12,8.74,8.74,8.3,8.34,1662700,2303,84,3078,5465,0,0
46,WIZS3,2022-08-15,8.28,8.89,8.14,8.77,1671900,2930,53,3436,6419,0,0
47,WIZS3,2022-08-16,8.8,8.89,8.61,8.73,931900,1726,46,2486,4258,0,0
48,WIZS3,2022-08-17,8.69,8.95,8.61,8.9,1483000,2678,62,3984,6724,0,0
49,WIZS3,2022-08-18,8.95,8.99,8.53,8.56,1072300,2031,63,2361,4455,0,0
50,WIZS3,2022-08-19,8.53,8.68,8.41,8.52,795900,1537,49,1625,3211,0,0
51,WIZS3,2022-08-22,8.52,8.58,8.4,8.5,645800,1266,35,2030,3331,0,0
52,WIZS3,2022-08-23,8.6,8.69,8.33,8.51,1029600,1452,38,2158,3648,0,0
53,WIZS3,2022-08-24,8.57,8.77,8.51,8.63,951600,1668,38,2562,4268,0,0
54,WIZS3,2022-08-25,8.7,8.76,8.59,8.65,487400,1010,50,1182,2242,0,0
55,WIZS3,2022-08-26,8.65,8.7,8.51,8.57,419000,1027,36,1247,2310,0,0
56,WIZS3,2022-08-29,8.51,8.7,8.41,8.44,769200,1404,38,1884,3326,0,0
57,WIZS3,2022-08-30,8.48,8.49,8.0,8.03,1771500,2220,84,3037,5341,0,0
58,WIZS3,2022-08-31,8.05,8.22,8.01,8.12,917400,2008,58,1601,3667,0,0
59,WIZS3,2022-09-01,8.01,8.06,7.79,8.06,1602100,2770,63,2965,5798,0,0
60,WIZS3,2022-09-02,8.06,8.19,7.93,7.99,1424200,1940,90,3362,5392,0,0
61,WIZS3,2022-09-05,8.04,8.1,7.88,7.94,1026300,1279,36,3100,4415,0,0
62,WIZS3,2022-09-06,7.92,7.98,7.74,7.85,1062000,1474,31,1797,3302,0,0
63,WIZS3,2022-09-08,7.87,8.03,7.8,7.86,883200,1474,36,1612,3122,0,0
64,WIZS3,2022-09-09,7.9,8.19,7.88,8.14,1058300,1907,44,1678,3629,0,0
65,WIZS3,2022-09-12,8.24,8.35,8.14,8.14,774000,1250,41,1635,2926,0,0
66,WIZS3,2022-09-13,8.04,8.11,7.93,8.04,939500,1095,36,1849,2980,0,0
67,WIZS3,2022-09-15,8.05,8.14,7.96,7.98,531300,1042,35,1260,2337,0,0
68,WIZS3,2022-09-16,7.95,8.12,7.82,7.95,930300,1180,43,1651,2874,0,0
69,WIZS3,2022-09-19,7.97,8.18,7.9,8.1,834800,1707,41,1143,2891,0,0
70,WIZS3,2022-09-20,8.12,8.24,7.99,8.19,929200,1370,38,1694,3102,0,0
71,WIZS3,2022-09-21,8.21,8.44,8.18,8.29,1085300,1793,28,1901,3722,0,0
72,WIZS3,2022-09-22,8.4,8.42,8.16,8.26,824100,1725,29,1554,3308,0,0
73,WIZS3,2022-09-23,8.21,8.41,8.14,8.17,978600,1983,48,1878,3909,0,0
74,WIZS3,2022-09-27,7.98,8.08,7.71,7.72,1298300,1913,34,3010,4957,0,0
75,WIZS3,2022-09-28,7.74,7.83,7.59,7.8,938000,2270,37,1859,4166,0,0
76,WIZS3,2022-09-29,7.68,7.87,7.48,7.8,1380600,2025,43,1756,3824,0,0
77,WIZS3,2022-09-30,7.77,8.03,7.67,7.95,952400,1976,34,1669,3679,0,0
78,WIZS3,2022-10-03,8.04,8.36,8.03,8.21,1460600,3295,48,1964,5307,0,0
79,WIZS3,2022-10-04,8.27,8.37,8.06,8.14,1041900,2419,35,2400,4854,0,0
80,WIZS3,2022-10-05,8.19,8.19,8.0,8.08,1275700,1815,31,2820,4666,0,0
81,WIZS3,2022-10-06,8.09,8.25,8.04,8.18,895900,1240,31,2203,3474,0,0
82,WIZS3,2022-10-07,8.17,8.25,8.07,8.14,705800,1411,47,1642,3100,0,0
83,WIZS3,2022-10-10,8.2,8.2,7.87,7.93,968700,1445,41,1550,3036,0,0
84,WIZS3,2022-10-11,7.93,8.04,7.84,7.94,892100,1748,39,1905,3692,0,0
85,WIZS3,2022-10-13,7.86,8.04,7.77,7.98,583100,1373,35,1273,2681,0,0
86,WIZS3,2022-10-14,8.0,8.07,7.75,7.77,675800,1293,44,1189,2526,0,0
87,WIZS3,2022-10-17,7.75,7.94,7.71,7.84,592000,1317,35,1186,2538,0,0
88,WIZS3,2022-10-18,7.84,8.07,7.84,8.07,770600,1279,58,1286,2623,0,0
89,WIZS3,2022-10-19,8.06,8.23,8.0,8.06,885400,1772,46,2012,3830,0,0
90,WIZS3,2022-10-20,8.1,8.11,7.66,7.74,1812000,1414,77,2330,3821,0,0
91,WIZS3,2022-10-21,7.74,7.88,7.62,7.85,561500,1313,46,1205,2564,0,0
92,WIZS3,2022-10-24,7.74,7.89,7.7,7.72,649100,1147,42,1430,2619,0,0
93,WIZS3,2022-10-25,7.71,7.79,7.57,7.65,888000,1408,42,1903,3353,0,0
94,WIZS3,2022-10-26,7.62,7.66,7.41,7.47,952300,1576,52,1876,3504,0,0
95,WIZS3,2022-10-27,7.52,7.67,7.46,7.56,1029400,1622,44,1610,3276,0,0
96,WIZS3,2022-10-28,7.51,7.78,7.51,7.72,594700,1319,43,1154,2516,0,0
97,WIZS3,2022-10-31,7.5,7.81,7.35,7.75,1317300,2103,35,1846,3984,0,0
98,WIZS3,2022-11-01,7.76,8.0,7.72,7.85,1282600,2140,40,2150,4330,0,0
99,WIZS3,2022-11-03,7.82,8.06,7.68,7.93,1205700,2257,35,2022,4314,0,0
100,WIZS3,2022-11-04,8.06,8.15,7.96,7.96,920300,1865,42,2015,3922,0,0
101,WIZS3,2022-11-07,7.95,8.1,7.85,7.89,886400,1046,29,1911,2985,1,0
102,WIZS3,2022-11-08,7.82,7.92,7.67,7.87,1014600,1177,31,1735,2943,0,0
103,WIZS3,2022-11-09,7.83,8.38,7.83,8.24,1939300,2621,66,2992,5679,0,0
104,WIZS3,2022-11-10,8.23,8.23,7.38,7.49,2296200,3056,45,4375,7476,0,0
105,WIZS3,2022-11-14,8.15,8.53,8.11,8.41,1754200,2717,38,3219,5974,0,0
106,WIZS3,2022-11-17,7.91,8.13,7.61,7.87,1803800,2819,79,2827,5725,0,0
107,WIZS3,2022-11-18,7.91,8.27,7.77,7.88,1545000,2562,59,2708,5329,0,0
108,WIZS3,2022-11-21,7.9,8.2,7.81,8.2,1263500,1916,44,2209,4169,0,0
109,WIZS3,2022-11-22,8.2,8.23,7.83,7.95,1329800,1445,48,2168,3661,0,0
110,WIZS3,2022-11-23,7.93,8.04,7.61,7.75,1736100,2320,42,2737,5099,0,0
111,WIZS3,2022-11-24,7.73,7.95,7.7,7.79,1226900,1499,52,1210,2761,0,0
112,WIZS3,2022-11-25,7.82,7.9,7.69,7.73,998900,1126,32,1908,3066,0,0
113,WIZS3,2022-11-28,7.75,7.93,7.64,7.7,1382400,1592,34,1942,3568,0,0
114,WIZS3,2022-11-29,7.8,7.89,7.63,7.87,978900,1712,36,1937,3685,0,0
115,WIZS3,2022-11-30,7.87,8.03,7.69,7.99,1133700,1489,39,2136,3664,0,0
116,WIZS3,2022-12-01,7.94,8.17,7.94,8.13,1371800,1937,52,2384,4373,0,0
117,WIZS3,2022-12-02,8.15,8.36,8.11,8.36,1232400,2430,63,1935,4428,0,0
118,WIZS3,2022-12-05,8.36,8.36,8.06,8.17,1004100,1020,54,1561,2634,1,0
119,WIZS3,2022-12-06,8.17,8.5,8.12,8.35,2224100,2668,81,2837,5586,0,0
120,WIZS3,2022-12-07,8.31,8.35,8.03,8.04,999000,1654,72,1874,3600,0,0
121,WIZS3,2022-12-08,8.04,8.07,7.73,7.86,1105600,1281,62,1864,3207,0,0
122,WIZS3,2022-12-09,7.86,7.86,7.63,7.77,1698200,1799,68,2941,4808,0,0
123,WIZS3,2022-12-12,7.21,7.31,6.26,6.8,11838000,11261,364,8917,20542,0,0
124,WIZS3,2022-12-13,6.85,7.1,6.71,6.76,3367600,2722,61,4412,7195,0,0
125,WIZS3,2022-12-14,6.71,7.23,6.65,7.21,2758200,2305,91,3995,6391,0,0
126,WIZS3,2022-12-15,7.16,7.23,7.04,7.04,1215800,1592,50,1901,3543,0,0
127,WIZS3,2022-12-16,7.04,7.14,6.96,6.97,1248500,1284,60,1554,2898,0,0
128,WIZS3,2022-12-19,6.96,7.45,6.95,7.32,1372400,1696,52,1855,3603,0,0
129,WIZS3,2022-12-20,7.31,7.72,7.31,7.56,1215500,2079,39,2154,4272,0,0
130,WIZS3,2022-12-21,7.56,7.71,7.51,7.66,1058000,2162,52,2100,4314,0,0
131,WIZS3,2022-12-22,7.66,7.66,6.73,6.95,4066100,4447,90,4743,9280,0,0
132,WIZS3,2022-12-23,7.02,7.02,6.61,6.85,3480000,3428,62,3041,6531,0,0
133,WIZS3,2022-12-26,6.81,7.07,6.8,6.97,829300,1446,44,960,2450,0,0
134,WIZS3,2022-12-27,6.97,6.97,6.77,6.79,1247000,2021,82,1675,3778,0,0
135,WIZS3,2022-12-28,6.88,6.96,6.75,6.94,744100,1046,52,694,1792,0,0
136,WIZS3,2022-12-29,6.99,7.16,6.92,7.01,1308900,1934,70,1796,3800,0,0
137,WIZS3,2023-01-02,6.95,6.95,6.76,6.89,1161800,1241,47,1471,2759,0,0
138,WIZS3,2023-01-03,6.9,7.02,6.67,6.72,1044800,1690,63,1854,3607,0,0
139,WIZS3,2023-01-04,6.73,6.81,6.65,6.73,1055600,1745,41,1742,3527,1,0
140,WIZS3,2023-01-05,6.74,6.8,6.67,6.72,978800,1901,59,1896,3856,0,0
141,WIZS3,2023-01-06,6.73,6.98,6.7,6.97,980600,1757,46,1643,3446,0,0
142,WIZS3,2023-01-09,6.86,6.94,6.76,6.89,834100,1388,40,1637,3065,0,0
143,WIZS3,2023-01-10,6.9,7.04,6.83,6.99,1064900,1976,36,2095,4107,0,0
144,WIZS3,2023-01-11,7.01,7.07,6.89,7.02,910800,1722,32,1875,3629,0,0
145,WIZS3,2023-01-12,7.01,7.02,6.84,6.85,997700,1731,73,1983,3787,0,0
146,WIZS3,2023-01-13,6.85,6.96,6.8,6.88,782600,1569,39,1507,3115,0,0
147,WIZS3,2023-01-16,6.88,6.88,6.75,6.81,715100,1199,57,1933,3189,0,0
148,WIZS3,2023-01-17,6.83,6.93,6.77,6.91,527500,827,46,901,1774,0,0
149,WIZS3,2023-01-18,6.95,7.1,6.92,7.01,959400,1614,36,1409,3059,0,0
150,WIZS3,2023-01-19,6.97,7.12,6.91,6.98,874200,1584,50,1335,2969,0,0
151,WIZS3,2023-01-20,7.02,7.16,6.99,7.0,558000,960,44,1056,2060,0,0
152,WIZS3,2023-01-23,7.07,7.14,6.95,6.98,755200,1356,48,1837,3241,0,0
153,WIZS3,2023-01-24,7.03,7.11,6.96,7.03,422900,700,32,751,1483,0,0
