,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,WLMM4,2022-06-06,31.97,31.99,30.0,31.99,900,5,0,4,9,0,0
1,WLMM4,2022-06-07,32.0,32.95,30.85,32.95,600,4,0,2,6,0,0
2,WLMM4,2022-06-08,31.99,31.99,30.09,31.39,2500,9,0,9,18,0,0
3,WLMM4,2022-06-09,30.7,31.07,30.69,30.97,3500,3,0,4,7,0,0
4,WLMM4,2022-06-13,29.0,30.7,29.0,30.7,500,2,0,3,5,0,0
5,WLMM4,2022-06-14,29.55,30.44,29.55,30.44,300,1,0,2,3,0,0
6,WLMM4,2022-06-15,30.7,30.7,29.0,29.0,1400,8,0,4,12,0,0
7,WLMM4,2022-06-17,28.0,30.0,28.0,30.0,1000,6,0,3,9,0,0
8,WLMM4,2022-06-20,30.7,30.7,29.1,30.69,800,5,0,3,8,0,0
9,WLMM4,2022-06-21,28.72,30.7,27.01,27.01,3700,15,0,17,32,0,0
10,WLMM4,2022-06-22,27.03,28.3,26.57,26.69,4300,8,0,15,23,0,0
11,WLMM4,2022-06-23,26.06,28.36,26.06,27.87,9600,10,0,23,33,0,0
12,WLMM4,2022-06-24,26.85,27.56,25.0,25.0,2300,7,3,10,20,0,0
13,WLMM4,2022-06-27,24.21,25.5,22.71,23.0,2800,15,0,10,25,0,0
14,WLMM4,2022-06-28,23.99,24.28,21.0,21.0,2800,9,0,18,27,0,0
15,WLMM4,2022-06-29,21.35,21.35,19.45,19.75,5300,11,0,19,30,0,0
16,WLMM4,2022-06-30,20.37,20.69,19.52,20.69,7100,5,0,4,9,0,0
17,WLMM4,2022-07-01,19.99,20.68,19.99,20.68,1000,4,0,5,9,0,0
18,WLMM4,2022-07-04,20.67,20.68,20.63,20.67,900,4,0,2,6,0,0
19,WLMM4,2022-07-05,20.05,20.5,19.81,19.81,2400,4,0,14,18,0,0
20,WLMM4,2022-07-06,20.5,20.5,20.5,20.5,300,0,1,0,0,1,0
21,WLMM4,2022-07-07,20.66,21.5,20.66,21.5,500,2,0,3,5,0,0
22,WLMM4,2022-07-08,22.11,22.11,20.7,21.51,2000,5,1,6,11,1,0
23,WLMM4,2022-07-11,20.71,21.26,20.6,21.26,600,3,0,3,6,0,0
24,WLMM4,2022-07-12,20.65,20.65,20.65,20.65,100,1,0,0,1,0,0
25,WLMM4,2022-07-13,20.6,20.6,20.55,20.55,400,0,1,1,1,1,0
26,WLMM4,2022-07-14,20.1,20.1,19.85,19.85,800,4,0,3,7,0,0
27,WLMM4,2022-07-15,20.88,20.88,20.88,20.88,100,1,0,0,1,0,0
28,WLMM4,2022-07-18,20.15,20.22,20.15,20.15,400,2,0,2,4,0,0
29,WLMM4,2022-07-19,20.18,21.12,20.18,21.12,1100,2,0,3,5,0,0
30,WLMM4,2022-07-20,21.1,21.1,20.98,20.99,400,3,1,0,4,0,0
31,WLMM4,2022-07-21,20.73,20.85,20.5,20.85,2600,3,0,2,5,0,0
32,WLMM4,2022-07-22,22.08,22.08,20.1,21.06,1100,2,0,4,6,0,0
