,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,YDUQ3,2022-06-06,15.75,15.83,15.13,15.13,1073100,2459,73,2790,5321,1,0
1,YDUQ3,2022-06-07,15.1,15.44,14.9,15.27,2142300,3038,99,3526,6661,2,0
2,YDUQ3,2022-06-08,15.03,15.43,14.85,14.89,1529500,3102,78,3121,6300,1,0
3,YDUQ3,2022-06-09,14.85,15.42,14.84,15.17,1816600,5281,98,2906,8283,2,0
4,YDUQ3,2022-06-10,14.83,14.92,14.21,14.22,2659700,5567,155,5907,11566,63,0
5,YDUQ3,2022-06-13,13.85,13.85,13.31,13.34,2635000,5686,163,6453,12301,1,0
6,YDUQ3,2022-06-14,13.49,13.66,13.33,13.49,1905000,3122,80,4317,7518,1,0
7,YDUQ3,2022-06-15,13.77,14.0,13.41,13.81,2371000,6205,119,4407,10725,6,0
8,YDUQ3,2022-06-17,13.52,13.64,13.02,13.12,5523300,6668,350,9748,16596,170,0
9,YDUQ3,2022-06-20,13.35,13.94,13.28,13.68,2146700,6216,82,3874,10171,1,0
10,YDUQ3,2022-06-21,13.61,13.73,12.95,13.14,3410500,5217,120,7502,12838,1,0
11,YDUQ3,2022-06-22,12.9,13.8,12.89,13.52,1676100,4328,128,3462,7917,1,0
12,YDUQ3,2022-06-23,13.6,14.06,13.35,13.76,2917000,6061,116,3992,10165,4,0
13,YDUQ3,2022-06-24,13.86,14.36,13.49,14.23,3198600,10766,110,6140,17015,1,0
14,YDUQ3,2022-06-27,14.2,14.5,13.87,14.0,2413800,4532,1318,4459,9079,1230,0
15,YDUQ3,2022-06-28,13.85,14.11,13.45,13.6,1826800,3688,624,5981,9740,553,0
16,YDUQ3,2022-06-29,13.47,13.82,13.22,13.34,2028800,3930,117,4900,8888,59,0
17,YDUQ3,2022-06-30,13.31,13.32,12.82,12.97,2506200,4683,157,8743,13582,1,0
18,YDUQ3,2022-07-01,12.85,13.31,12.68,13.01,2204500,4383,115,6576,11073,1,0
19,YDUQ3,2022-07-04,12.86,12.9,12.37,12.41,2314000,3459,83,6151,9692,1,0
20,YDUQ3,2022-07-05,12.24,12.74,11.93,12.5,3476600,5853,155,6288,12295,1,0
