,AESB3,RAPT4,AURA33,SHOW3,TRIS3,LUPA3,ENJU3,PFRM3,VIIA3,BLAU3,POSI3,EVEN3,PARD3,AZEV4,G2DI33,INEP3,LAND3,COGN3,PGMN3,TPIS3,BPAN4,BRAP4,ROMI3,TCSA3,MRVE3,FHER3,RADL3,VLID3,NGRD3,MEAL3,AGXY3,BOAS3,PTBL3,RCSL3,GFSA3,PRNR3,DEXP3,PORT3,OIBR3,VITT3,TECN3,MATD3,VVEO3,AALR3,MODL3,SGPS3,BRPR3,LOGN3,ALUP11,TFCO4,SHUL4,HBRE3,APER3,MOAR3,VIVR3,PINE4,TRAD3,NINJ3,HBSA3,MBLY3,ATMP3,LIGT3,PDTC3,CSED3,WEST3,RCSL4,ENEV3
2022-06-30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-29,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,,,0.1,,,0.1,0.1,,,,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,,,,0.1,,,0.1,,,,,,0.1,,,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,,,,0.09090909090909091,,,,,,,,0.09090909090909091,0.09090909090909091,,,,0.09090909090909091,,,,0.09090909090909091,,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,,,0.09090909090909091,0.09090909090909091,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,0.09090909090909091,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,0.09090909090909091,,0.09090909090909091,,,,,,,,,,,,,,,0.09090909090909091,,,0.09090909090909091,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,,,,0.09090909090909091,,,,,,0.09090909090909091,,,,,,0.09090909090909091,,,,,,,,,,0.09090909090909091,,,,,,,,0.09090909090909091,,,0.09090909090909091,,,0.09090909090909091,0.09090909090909091,,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,
2023-04-28,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,,,,,0.09090909090909091,,,,,,0.09090909090909091,0.09090909090909091,,0.09090909090909091,0.09090909090909091,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,,,,,,,,
2023-05-31,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,,,,,,0.09090909090909091,,,,,,,0.09090909090909091,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,,,,,,,,,,
2023-06-29,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,,,,,,,,,,,,,0.08333333333333333,,,,,,0.08333333333333333,,,0.08333333333333333,,,0.08333333333333333,,,,,,0.08333333333333333,,,,,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,,,,,
2023-07-31,,,,,,,,,,,,0.09090909090909091,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,,,,,,,0.09090909090909091,,,,,,,,,,0.09090909090909091,,,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,,
2023-08-28,,,,,,0.09090909090909091,,,,,,0.09090909090909091,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,0.09090909090909091,,,,,,,,,,0.09090909090909091,,,0.09090909090909091,,0.09090909090909091,,,0.09090909090909091,0.09090909090909091,0.09090909090909091
